,s1_dates,s1_system_ids,s2_dates,s2_system_ids,s2_granule_ids
0,2019-04-23 10:06:05,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190423T100605_20190423T100630_026916_030722_EEB2,2019-04-23 03:16:08,COPERNICUS/S2_SR_HARMONIZED/20190423T030549_20190423T030556_T50TMN,L2A_T50TMN_A011112_20190423T030556
1,2019-04-28 10:14:31,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190428T101431_20190428T101456_026989_0309CA_8606,2019-04-28 03:16:05,COPERNICUS/S2_SR_HARMONIZED/20190428T030551_20190428T031230_T50TMN,L2A_T50TMN_A020092_20190428T031230
2,2019-04-27 22:19:30,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190427T221930_20190427T221955_015998_01E122_E0EB,2019-04-28 03:16:05,COPERNICUS/S2_SR_HARMONIZED/20190428T030551_20190428T031230_T50TMN,L2A_T50TMN_A020092_20190428T031230
3,2019-06-22 10:06:08,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190622T100608_20190622T100633_027791_03231E_1A21,2019-06-22 03:16:09,COPERNICUS/S2_SR_HARMONIZED/20190622T030549_20190622T030557_T50TMN,L2A_T50TMN_A011970_20190622T030557
4,2019-08-21 10:06:12,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190821T100612_20190821T100637_028666_033E8C_3142,2019-08-21 03:16:06,COPERNICUS/S2_SR_HARMONIZED/20190821T030549_20190821T031151_T50TMN,L2A_T50TMN_A012828_20190821T031151
5,2019-10-20 10:06:14,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20191020T100614_20191020T100638_029541_035CC1_CD7A,2019-10-20 03:16:02,COPERNICUS/S2_SR_HARMONIZED/20191020T030739_20191020T031343_T50TMN,L2A_T50TMN_A013686_20191020T031343
6,2019-10-25 10:14:39,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20191025T101439_20191025T101504_029614_035F3F_D528,2019-10-25 03:16:04,COPERNICUS/S2_SR_HARMONIZED/20191025T030811_20191025T031522_T50TMN,L2A_T50TMN_A022666_20191025T031522
7,2019-10-24 22:19:38,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20191024T221938_20191024T222003_018623_023167_720B,2019-10-25 03:16:04,COPERNICUS/S2_SR_HARMONIZED/20191025T030811_20191025T031522_T50TMN,L2A_T50TMN_A022666_20191025T031522
8,2019-12-19 10:06:12,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20191219T100612_20191219T100637_030416_037B1B_D5AF,2019-12-19 03:15:56,COPERNICUS/S2_SR_HARMONIZED/20191219T031129_20191219T031455_T50TMN,L2A_T50TMN_A014544_20191219T031455
9,2020-02-17 10:06:10,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20200217T100610_20200217T100635_031291_03998B_EF33,2020-02-17 03:15:57,COPERNICUS/S2_SR_HARMONIZED/20200217T030809_20200217T030845_T50TMN,L2A_T50TMN_A015402_20200217T030845
10,2020-02-22 10:14:35,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20200222T101435_20200222T101500_031364_039C17_7030,2020-02-22 03:15:55,COPERNICUS/S2_SR_HARMONIZED/20200222T030731_20200222T031414_T50TMN,L2A_T50TMN_A024382_20200222T031414
11,2020-02-21 22:19:34,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20200221T221934_20200221T221959_020373_02696D_A515,2020-02-22 03:15:55,COPERNICUS/S2_SR_HARMONIZED/20200222T030731_20200222T031414_T50TMN,L2A_T50TMN_A024382_20200222T031414
12,2020-06-16 10:06:14,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20200616T100614_20200616T100639_033041_03D3CE_2993,2020-06-16 03:16:03,COPERNICUS/S2_SR_HARMONIZED/20200616T030549_20200616T030558_T50TMN,L2A_T50TMN_A017118_20200616T030558
13,2020-06-21 10:14:40,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20200621T101440_20200621T101505_033114_03D60C_FC8A,2020-06-21 03:16:07,COPERNICUS/S2_SR_HARMONIZED/20200621T030551_20200621T031232_T50TMN,L2A_T50TMN_A026098_20200621T031232
14,2020-08-20 10:14:43,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20200820T101443_20200820T101508_033989_03F1BE_C121,2020-08-20 03:16:07,COPERNICUS/S2_SR_HARMONIZED/20200820T030551_20200820T030548_T50TMN,L2A_T50TMN_A026956_20200820T030548
15,2020-08-19 22:19:42,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20200819T221942_20200819T222007_022998_02BA87_93AE,2020-08-20 03:16:07,COPERNICUS/S2_SR_HARMONIZED/20200820T030551_20200820T030548_T50TMN,L2A_T50TMN_A026956_20200820T030548
16,2020-10-19 10:14:45,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20201019T101445_20201019T101510_034864_04107F_97B2,2020-10-19 03:16:07,COPERNICUS/S2_SR_HARMONIZED/20201019T030741_20201019T030739_T50TMN,L2A_T50TMN_A027814_20201019T030739
17,2021-06-11 10:06:20,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20210611T100620_20210611T100645_038291_0484C6_EF91,2021-06-11 03:16:02,COPERNICUS/S2_SR_HARMONIZED/20210611T030549_20210611T030543_T50TMN,L2A_T50TMN_A022266_20210611T030543
18,2021-08-10 10:06:23,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20210810T100623_20210810T100648_039166_049F70_5D87,2021-08-10 03:16:02,COPERNICUS/S2_SR_HARMONIZED/20210810T030549_20210810T030543_T50TMN,L2A_T50TMN_A023124_20210810T030543
19,2021-10-14 10:14:51,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20211014T101451_20211014T101516_040114_04BFFD_BD61,2021-10-14 03:16:06,COPERNICUS/S2_SR_HARMONIZED/20211014T030701_20211014T030703_T50TMN,L2A_T50TMN_A032962_20211014T030703
20,2021-10-13 22:19:50,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20211013T221950_20211013T222015_029123_0379A6_E0C7,2021-10-14 03:16:06,COPERNICUS/S2_SR_HARMONIZED/20211014T030701_20211014T030703_T50TMN,L2A_T50TMN_A032962_20211014T030703
21,2021-12-13 10:14:50,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20211213T101450_20211213T101515_040989_04DE5C_9528,2021-12-13 03:16:00,COPERNICUS/S2_SR_HARMONIZED/20211213T031131_20211213T031128_T50TMN,L2A_T50TMN_A033820_20211213T031128
22,2022-02-06 10:06:22,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20220206T100622_20220206T100647_041791_04F952_B9AB,2022-02-06 03:15:55,COPERNICUS/S2_SR_HARMONIZED/20220206T030909_20220206T031415_T50TMN,L2A_T50TMN_A025698_20220206T031415
23,2022-02-11 10:14:47,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20220211T101447_20220211T101512_041864_04FBD3_AA73,2022-02-11 03:16:00,COPERNICUS/S2_SR_HARMONIZED/20220211T030841_20220211T030844_T50TMN,L2A_T50TMN_A034678_20220211T030844
24,2022-08-05 10:06:30,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20220805T100630_20220805T100655_044416_054CE7_D3EC,2022-08-05 03:16:05,COPERNICUS/S2_SR_HARMONIZED/20220805T030529_20220805T031538_T50TMN,L2A_T50TMN_A028272_20220805T031538
25,2022-08-10 10:14:55,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20220810T101455_20220810T101520_044489_054F1A_AC12,2022-08-10 03:16:13,COPERNICUS/S2_SR_HARMONIZED/20220810T030531_20220810T031239_T50TMN,L2A_T50TMN_A037252_20220810T031239
26,2023-02-06 10:14:53,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20230206T101453_20230206T101518_047114_05A6F5_DC82,2023-02-06 03:16:00,COPERNICUS/S2_SR_HARMONIZED/20230206T030911_20230206T030925_T50TMN,L2A_T50TMN_A039826_20230206T030925
27,2023-04-07 10:14:53,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20230407T101453_20230407T101518_047989_05C485_44AA,2023-04-07 03:16:01,COPERNICUS/S2_SR_HARMONIZED/20230407T030521_20230407T030651_T50TMN,L2A_T50TMN_A040684_20230407T030651
28,2023-06-06 10:14:56,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20230606T101456_20230606T101521_048864_05E053_C119,2023-06-06 03:16:05,COPERNICUS/S2_SR_HARMONIZED/20230606T030531_20230606T031217_T50TMN,L2A_T50TMN_A041542_20230606T031217
29,2023-08-05 10:15:00,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20230805T101500_20230805T101525_049739_05FB20_75F0,2023-08-05 03:16:06,COPERNICUS/S2_SR_HARMONIZED/20230805T030531_20230805T031320_T50TMN,L2A_T50TMN_A042400_20230805T031320
30,2023-10-04 10:15:02,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20231004T101502_20231004T101527_050614_0618ED_299B,2023-10-04 03:16:03,COPERNICUS/S2_SR_HARMONIZED/20231004T030551_20231004T031512_T50TMN,L2A_T50TMN_A043258_20231004T031512
31,2023-12-03 10:15:01,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20231203T101501_20231203T101526_051489_0636F1_D7ED,2023-12-03 03:15:53,COPERNICUS/S2_SR_HARMONIZED/20231203T031101_20231203T031101_T50TMN,L2A_T50TMN_A044116_20231203T031101
