,s1_dates,s1_system_ids,s2_dates,s2_system_ids,s2_granule_ids
0,2019-08-20 12:40:25,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190820T124025_20190820T124050_028653_033E0F_E0EA,2019-08-20 05:29:21,COPERNICUS/S2_SR_HARMONIZED/20190820T051659_20190820T052145_T44SMD,L2A_T44SMD_A012815_20190820T052145
1,2020-01-12 00:42:04,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20200112T004204_20200112T004229_030760_0386FF_4C74,2020-01-12 05:29:10,COPERNICUS/S2_SR_HARMONIZED/20200112T052201_20200112T052758_T44SMD,L2A_T44SMD_A023797_20200112T052758
2,2020-01-12 00:42:29,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20200112T004229_20200112T004254_030760_0386FF_AF8F,2020-01-12 05:29:10,COPERNICUS/S2_SR_HARMONIZED/20200112T052201_20200112T052758_T44SMD,L2A_T44SMD_A023797_20200112T052758
3,2020-08-02 12:40:30,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20200802T124030_20200802T124055_033728_03E8C0_42CA,2020-08-02 05:39:17,COPERNICUS/S2_SR_HARMONIZED/20200802T052651_20200802T053636_T44SMD,L2A_T44SMD_A026700_20200802T053636
4,2020-08-14 12:40:31,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20200814T124031_20200814T124056_033903_03EEA9_DB51,2020-08-14 05:29:19,COPERNICUS/S2_SR_HARMONIZED/20200814T051659_20200814T051853_T44SMD,L2A_T44SMD_A017963_20200814T051853
5,2021-05-29 12:40:32,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20210529T124032_20210529T124057_038103_047F31_26F2,2021-05-29 05:39:12,COPERNICUS/S2_SR_HARMONIZED/20210529T052651_20210529T053826_T44SMD,L2A_T44SMD_A030990_20210529T053826
6,2021-06-10 12:40:33,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20210610T124033_20210610T124058_038278_04845D_6519,2021-06-10 05:29:17,COPERNICUS/S2_SR_HARMONIZED/20210610T051649_20210610T051839_T44SMD,L2A_T44SMD_A022253_20210610T051839
7,2021-09-26 12:40:38,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20210926T124038_20210926T124103_039853_04B6ED_A6C9,2021-09-26 05:39:15,COPERNICUS/S2_SR_HARMONIZED/20210926T052651_20210926T053829_T44SMD,L2A_T44SMD_A032706_20210926T053829
8,2022-02-05 12:40:35,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20220205T124035_20220205T124100_041778_04F8D7_2CA6,2022-02-05 05:29:10,COPERNICUS/S2_SR_HARMONIZED/20220205T052009_20220205T052526_T44SMD,L2A_T44SMD_A025685_20220205T052526
9,2022-03-25 12:40:35,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20220325T124035_20220325T124100_042478_0510D6_B690,2022-03-25 05:39:14,COPERNICUS/S2_SR_HARMONIZED/20220325T052651_20220325T053632_T44SMD,L2A_T44SMD_A035280_20220325T053632
10,2022-04-06 12:40:35,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20220406T124035_20220406T124100_042653_0516C5_3C0E,2022-04-06 05:29:12,COPERNICUS/S2_SR_HARMONIZED/20220406T051649_20220406T052823_T44SMD,L2A_T44SMD_A026543_20220406T052823
11,2022-07-23 12:40:41,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20220723T124041_20220723T124106_044228_05475C_27FA,2022-07-23 05:39:22,COPERNICUS/S2_SR_HARMONIZED/20220723T052701_20220723T053001_T44SMD,L2A_T44SMD_A036996_20220723T053001
12,2022-08-04 12:40:42,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20220804T124042_20220804T124107_044403_054C82_E7BC,2022-08-04 05:29:20,COPERNICUS/S2_SR_HARMONIZED/20220804T051659_20220804T052849_T44SMD,L2A_T44SMD_A028259_20220804T052849
13,2022-08-29 00:42:44,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20220829T004244_20220829T004309_044760_055842_1882,2022-08-29 05:29:28,COPERNICUS/S2_SR_HARMONIZED/20220829T051701_20220829T052709_T44SMD,L2A_T44SMD_A037525_20220829T052709
14,2022-10-03 12:40:44,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20221003T124044_20221003T124109_045278_0569A4_F047,2022-10-03 05:29:14,COPERNICUS/S2_SR_HARMONIZED/20221003T051649_20221003T052253_T44SMD,L2A_T44SMD_A029117_20221003T052253
