,s1_dates,s1_system_ids,s2_dates,s2_system_ids,s2_granule_ids
0,2019-01-12 18:03:47,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190112T180347_20190112T180412_025448_02D1CC_D994,2019-01-12 10:37:11,COPERNICUS/S2_SR_HARMONIZED/20190112T102409_20190112T102555_T30PZA,L2A_T30PZA_A009672_20190112T102555
1,2019-01-12 18:03:47,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190112T180347_20190112T180412_025448_02D1CC_D994,2019-01-12 10:37:09,COPERNICUS/S2_SR_HARMONIZED/20190112T102409_20190112T102555_T31PBR,L2A_T31PBR_A009672_20190112T102555
2,2019-01-17 18:11:56,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190117T181156_20190117T181221_025521_02D47B_F873,2019-01-17 10:37:08,COPERNICUS/S2_SR_HARMONIZED/20190117T102351_20190117T103132_T30PZA,L2A_T30PZA_A018652_20190117T103132
3,2019-01-17 18:11:56,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190117T181156_20190117T181221_025521_02D47B_F873,2019-01-17 10:37:06,COPERNICUS/S2_SR_HARMONIZED/20190117T102351_20190117T103132_T31PBR,L2A_T31PBR_A018652_20190117T103132
4,2019-03-13 18:03:46,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190313T180346_20190313T180411_026323_02F162_5FF7,2019-03-13 10:37:09,COPERNICUS/S2_SR_HARMONIZED/20190313T102019_20190313T102552_T30PZA,L2A_T30PZA_A010530_20190313T102552
5,2019-03-13 18:03:46,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190313T180346_20190313T180411_026323_02F162_5FF7,2019-03-13 10:37:07,COPERNICUS/S2_SR_HARMONIZED/20190313T102019_20190313T102552_T31PBR,L2A_T31PBR_A010530_20190313T102552
6,2019-03-18 18:11:55,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190318T181155_20190318T181220_026396_02F41E_AC47,2019-03-18 10:37:09,COPERNICUS/S2_SR_HARMONIZED/20190318T102021_20190318T102646_T30PZA,L2A_T30PZA_A019510_20190318T102646
7,2019-03-18 18:11:55,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190318T181155_20190318T181220_026396_02F41E_AC47,2019-03-18 10:37:07,COPERNICUS/S2_SR_HARMONIZED/20190318T102021_20190318T102646_T31PBR,L2A_T31PBR_A019510_20190318T102646
8,2019-05-17 18:11:57,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190517T181157_20190517T181222_027271_031331_DFA9,2019-05-17 10:37:15,COPERNICUS/S2_SR_HARMONIZED/20190517T102031_20190517T102508_T30PZA,L2A_T30PZA_A020368_20190517T102508
9,2019-05-17 18:11:57,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190517T181157_20190517T181222_027271_031331_DFA9,2019-05-17 10:37:14,COPERNICUS/S2_SR_HARMONIZED/20190517T102031_20190517T102508_T31PBR,L2A_T31PBR_A020368_20190517T102508
10,2019-07-16 18:12:01,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190716T181201_20190716T181226_028146_032DD7_9EAC,2019-07-16 10:37:17,COPERNICUS/S2_SR_HARMONIZED/20190716T102031_20190716T102849_T30PZA,L2A_T30PZA_A021226_20190716T102849
11,2019-07-16 18:12:01,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190716T181201_20190716T181226_028146_032DD7_9EAC,2019-07-16 10:37:15,COPERNICUS/S2_SR_HARMONIZED/20190716T102031_20190716T102849_T31PBR,L2A_T31PBR_A021226_20190716T102849
12,2019-09-14 18:12:04,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190914T181204_20190914T181229_029021_034AE0_8B8C,2019-09-14 10:37:11,COPERNICUS/S2_SR_HARMONIZED/20190914T102021_20190914T102608_T30PZA,L2A_T30PZA_A022084_20190914T102608
