,s1_dates,s1_system_ids,s2_dates,s2_system_ids,s2_granule_ids
0,2019-03-24 09:17:14,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190324T091714_20190324T091742_026478_02F723_3235,2019-03-24 02:25:08,COPERNICUS/S2_SR_HARMONIZED/20190324T021601_20190324T022122_T52TEQ,L2A_T52TEQ_A019591_20190324T022122
1,2019-05-23 09:17:16,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190523T091716_20190523T091744_027353_0315C5_02E2,2019-05-23 02:25:13,COPERNICUS/S2_SR_HARMONIZED/20190523T021611_20190523T022214_T52TEQ,L2A_T52TEQ_A020449_20190523T022214
2,2019-09-20 09:17:23,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190920T091723_20190920T091751_029103_034DA7_F7A5,2019-09-20 02:25:09,COPERNICUS/S2_SR_HARMONIZED/20190920T021601_20190920T021603_T52TEQ,L2A_T52TEQ_A022165_20190920T021603
3,2020-07-16 09:17:26,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20200716T091726_20200716T091754_033478_03E11B_F703,2020-07-16 02:25:14,COPERNICUS/S2_SR_HARMONIZED/20200716T021611_20200716T021608_T52TEQ,L2A_T52TEQ_A026455_20200716T021608
4,2020-11-13 09:17:29,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20201113T091729_20201113T091758_035228_041D0F_1221,2020-11-13 02:25:13,COPERNICUS/S2_SR_HARMONIZED/20201113T021941_20201113T021939_T52TEQ,L2A_T52TEQ_A028171_20201113T021939
5,2021-03-13 09:17:26,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20210313T091726_20210313T091754_036978_0459D2_3737,2021-03-13 02:25:09,COPERNICUS/S2_SR_HARMONIZED/20210313T021601_20210313T021602_T52TEQ,L2A_T52TEQ_A029887_20210313T021602
6,2021-07-11 09:17:31,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20210711T091731_20210711T091800_038728_0491E7_8992,2021-07-11 02:25:12,COPERNICUS/S2_SR_HARMONIZED/20210711T021611_20210711T021606_T52TEQ,L2A_T52TEQ_A031603_20210711T021606
7,2021-09-09 09:17:34,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20210909T091734_20210909T091803_039603_04AE6C_D0C1,2021-09-09 02:25:09,COPERNICUS/S2_SR_HARMONIZED/20210909T021601_20210909T021603_T52TEQ,L2A_T52TEQ_A032461_20210909T021603
8,2022-01-07 09:17:33,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20220107T091733_20220107T091801_041353_04EA94_978F,2022-01-07 02:25:11,COPERNICUS/S2_SR_HARMONIZED/20220107T022101_20220107T022100_T52TEQ,L2A_T52TEQ_A034177_20220107T022100
9,2022-03-08 09:17:31,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20220308T091731_20220308T091800_042228_05085B_72C0,2022-03-08 02:25:13,COPERNICUS/S2_SR_HARMONIZED/20220308T021611_20220308T022233_T52TEQ,L2A_T52TEQ_A035035_20220308T022233
