,s1_dates,s1_system_ids,s2_dates,s2_system_ids,s2_granule_ids
0,2022-07-07 13:41:17,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20220707T134117_20220707T134142_043995_054068_24D0,2022-07-07 18:41:36,COPERNICUS/S2_SR_HARMONIZED/20220707T182931_20220707T183328_T12TUS,L2A_T12TUS_A036775_20220707T183328
1,2022-07-19 13:41:07,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20220719T134107_20220719T134132_044170_0545B0_4EDE,2022-07-19 18:31:31,COPERNICUS/S2_SR_HARMONIZED/20220719T181919_20220719T182412_T12TUS,L2A_T12TUS_A028038_20220719T182412
2,2022-09-05 13:41:10,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20220905T134110_20220905T134135_044870_055BF1_1266,2022-09-05 18:41:34,COPERNICUS/S2_SR_HARMONIZED/20220905T182931_20220905T183816_T12TUS,L2A_T12TUS_A037633_20220905T183816
3,2022-09-17 13:41:09,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20220917T134109_20220917T134134_045045_0561D4_EEA2,2022-09-17 18:31:28,COPERNICUS/S2_SR_HARMONIZED/20220917T182019_20220917T182732_T12TUS,L2A_T12TUS_A028896_20220917T182732
4,2022-11-16 13:41:09,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20221116T134109_20221116T134134_045920_057E95_FFF5,2022-11-16 18:31:26,COPERNICUS/S2_SR_HARMONIZED/20221116T182629_20221116T182630_T12TUS,L2A_T12TUS_A029754_20221116T182630
5,2023-01-03 13:41:07,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20230103T134107_20230103T134132_046620_059664_3657,2023-01-03 18:41:22,COPERNICUS/S2_SR_HARMONIZED/20230103T183751_20230103T184011_T12TUS,L2A_T12TUS_A039349_20230103T184011
6,2023-03-04 13:41:06,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20230304T134106_20230304T134131_047495_05B3DD_DDBF,2023-03-04 18:41:20,COPERNICUS/S2_SR_HARMONIZED/20230304T183241_20230304T183954_T12TUS,L2A_T12TUS_A040207_20230304T183954
7,2023-05-03 13:41:07,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20230503T134107_20230503T134132_048370_05D158_5B4B,2023-05-03 18:41:23,COPERNICUS/S2_SR_HARMONIZED/20230503T182921_20230503T183409_T12TUS,L2A_T12TUS_A041065_20230503T183409
8,2023-05-15 13:41:08,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20230515T134108_20230515T134133_048545_05D6D1_59BE,2023-05-15 18:31:30,COPERNICUS/S2_SR_HARMONIZED/20230515T181919_20230515T182328_T12TUS,L2A_T12TUS_A032328_20230515T182328
9,2023-07-02 13:41:10,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20230702T134110_20230702T134135_049245_05EBEA_E3C1,2023-07-02 18:41:28,COPERNICUS/S2_SR_HARMONIZED/20230702T182921_20230702T183722_T12TUS,L2A_T12TUS_A041923_20230702T183722
