,s1_dates,s1_system_ids,s2_dates,s2_system_ids,s2_granule_ids
0,2022-09-05 13:39:55,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20220905T133955_20220905T134020_044870_055BF1_6F26,2022-09-05 18:40:19,COPERNICUS/S2_SR_HARMONIZED/20220905T182931_20220905T183816_T12UVB,L2A_T12UVB_A037633_20220905T183816
1,2023-01-03 13:39:52,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20230103T133952_20230103T134017_046620_059664_FDFD,2023-01-03 18:40:06,COPERNICUS/S2_SR_HARMONIZED/20230103T183751_20230103T183750_T12UVB,L2A_T12UVB_A039349_20230103T183750
2,2023-03-04 13:39:51,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20230304T133951_20230304T134016_047495_05B3DD_F9D2,2023-03-04 18:40:05,COPERNICUS/S2_SR_HARMONIZED/20230304T183241_20230304T183954_T12UVB,L2A_T12UVB_A040207_20230304T183954
3,2023-05-03 13:39:52,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20230503T133952_20230503T134017_048370_05D158_BABA,2023-05-03 18:40:08,COPERNICUS/S2_SR_HARMONIZED/20230503T182921_20230503T183409_T12UVB,L2A_T12UVB_A041065_20230503T183409
4,2023-07-02 13:39:55,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20230702T133955_20230702T134020_049245_05EBEA_82DD,2023-07-02 18:40:12,COPERNICUS/S2_SR_HARMONIZED/20230702T182921_20230702T183722_T12UVB,L2A_T12UVB_A041923_20230702T183722
5,2023-10-30 13:40:00,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20231030T134000_20231030T134025_050995_0625F8_6659,2023-10-30 18:40:07,COPERNICUS/S2_SR_HARMONIZED/20231030T183511_20231030T183902_T12UVB,L2A_T12UVB_A043639_20231030T183902
6,2023-12-29 13:39:57,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20231229T133957_20231229T134022_051870_064437_7B86,2023-12-29 18:40:04,COPERNICUS/S2_SR_HARMONIZED/20231229T183801_20231229T183756_T12UVB,L2A_T12UVB_A044497_20231229T183756
7,2024-06-26 13:39:56,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20240626T133956_20240626T134021_054495_06A1B9_7C57,2024-06-26 18:40:10,COPERNICUS/S2_SR_HARMONIZED/20240626T182921_20240626T183405_T12UVB,L2A_T12UVB_A047071_20240626T183405
8,2018-03-05 13:46:55,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180305T134655_20180305T134720_009897_011EA2_7E6E,2018-03-05 18:39:58,COPERNICUS/S2_SR_HARMONIZED/20180305T183229_20180305T183718_T12UVB,L2A_T12UVB_A005201_20180305T183718
9,2019-03-11 01:12:51,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190311T011251_20190311T011316_015300_01CA28_1B26,2019-03-10 18:40:05,COPERNICUS/S2_SR_HARMONIZED/20190310T183149_20190310T183150_T12UVB,L2A_T12UVB_A010492_20190310T183150
