,s1_dates,s1_system_ids,s2_dates,s2_system_ids,s2_granule_ids
0,2019-07-25 12:57:56,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190725T125756_20190725T125821_028274_0331B4_48C9,2019-07-25 05:58:31,COPERNICUS/S2_SR_HARMONIZED/20190725T054641_20190725T054643_T43SDC,L2A_T43SDC_A021352_20190725T054643
1,2019-07-30 13:05:57,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190730T130557_20190730T130622_028347_033403_208D,2019-07-30 05:58:34,COPERNICUS/S2_SR_HARMONIZED/20190730T054649_20190730T054708_T43SDC,L2A_T43SDC_A012515_20190730T054708
2,2019-09-23 12:58:00,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190923T125800_20190923T125825_029149_034F38_D5B6,2019-09-23 05:58:26,COPERNICUS/S2_SR_HARMONIZED/20190923T054641_20190923T054710_T43SDC,L2A_T43SDC_A022210_20190923T054710
3,2019-09-28 13:06:00,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190928T130600_20190928T130625_029222_0351C1_FDD3,2019-09-28 05:58:26,COPERNICUS/S2_SR_HARMONIZED/20190928T054639_20190928T055604_T43SDC,L2A_T43SDC_A013373_20190928T055604
4,2019-10-23 01:05:55,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20191023T010555_20191023T010620_029579_035E0B_1232,2019-10-23 05:58:29,COPERNICUS/S2_SR_HARMONIZED/20191023T054911_20191023T054905_T43SDC,L2A_T43SDC_A022639_20191023T054905
5,2020-06-19 01:05:56,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20200619T010556_20200619T010621_033079_03D502_1A7F,2020-06-19 05:58:32,COPERNICUS/S2_SR_HARMONIZED/20200619T054641_20200619T055147_T43SDC,L2A_T43SDC_A026071_20200619T055147
6,2020-07-24 13:06:03,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20200724T130603_20200724T130628_033597_03E4CC_FC9F,2020-07-24 05:58:28,COPERNICUS/S2_SR_HARMONIZED/20200724T054639_20200724T054832_T43SDC,L2A_T43SDC_A017663_20200724T054832
7,2020-08-18 01:05:59,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20200818T010559_20200818T010624_033954_03F087_4EAF,2020-08-18 05:58:31,COPERNICUS/S2_SR_HARMONIZED/20200818T054641_20200818T054900_T43SDC,L2A_T43SDC_A026929_20200818T054900
8,2020-09-17 12:58:06,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20200917T125806_20200917T125831_034399_040028_3E36,2020-09-17 05:58:30,COPERNICUS/S2_SR_HARMONIZED/20200917T054641_20200917T054642_T43SDC,L2A_T43SDC_A027358_20200917T054642
9,2020-10-17 01:06:01,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20201017T010601_20201017T010626_034829_040F4E_B46D,2020-10-17 05:58:31,COPERNICUS/S2_SR_HARMONIZED/20201017T054831_20201017T054834_T43SDC,L2A_T43SDC_A027787_20201017T054834
10,2021-07-14 12:58:08,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20210714T125808_20210714T125833_038774_049348_90A4,2021-07-14 05:58:29,COPERNICUS/S2_SR_HARMONIZED/20210714T054641_20210714T055426_T43SDC,L2A_T43SDC_A031648_20210714T055426
11,2021-08-13 01:06:05,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20210813T010605_20210813T010630_039204_04A0BF_5635,2021-08-13 05:58:28,COPERNICUS/S2_SR_HARMONIZED/20210813T054641_20210813T055415_T43SDC,L2A_T43SDC_A032077_20210813T055415
12,2021-09-12 12:58:11,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20210912T125811_20210912T125836_039649_04B016_C29C,2021-09-12 05:58:26,COPERNICUS/S2_SR_HARMONIZED/20210912T054641_20210912T055242_T43SDC,L2A_T43SDC_A032506_20210912T055242
13,2021-11-11 12:58:12,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20211111T125812_20211111T125837_040524_04CE50_C120,2021-11-11 05:58:28,COPERNICUS/S2_SR_HARMONIZED/20211111T055051_20211111T055054_T43SDC,L2A_T43SDC_A033364_20211111T055054
14,2022-01-15 13:06:24,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20220115T130624_20220115T130649_041472_04EE76_84C8,2022-01-15 05:58:21,COPERNICUS/S2_SR_HARMONIZED/20220115T055159_20220115T055159_T43SDC,L2A_T43SDC_A025385_20220115T055159
15,2022-02-09 01:06:03,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20220209T010603_20220209T010628_041829_04FAB6_DC96,2022-02-09 05:58:25,COPERNICUS/S2_SR_HARMONIZED/20220209T055001_20220209T055002_T43SDC,L2A_T43SDC_A034651_20220209T055002
16,2022-03-11 12:58:08,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20220311T125808_20220311T125833_042274_0509EE_272B,2022-03-11 05:58:30,COPERNICUS/S2_SR_HARMONIZED/20220311T054641_20220311T055246_T43SDC,L2A_T43SDC_A035080_20220311T055246
17,2022-04-10 01:06:03,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20220410T010603_20220410T010628_042704_051889_59C6,2022-04-10 05:58:27,COPERNICUS/S2_SR_HARMONIZED/20220410T054641_20220410T054914_T43SDC,L2A_T43SDC_A035509_20220410T054914
18,2022-05-10 12:58:10,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20220510T125810_20220510T125835_043149_052740_7404,2022-05-10 05:58:29,COPERNICUS/S2_SR_HARMONIZED/20220510T054641_20220510T054920_T43SDC,L2A_T43SDC_A035938_20220510T054920
19,2022-06-09 01:06:07,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20220609T010607_20220609T010632_043579_05340E_93B3,2022-06-09 05:58:34,COPERNICUS/S2_SR_HARMONIZED/20220609T054651_20220609T055558_T43SDC,L2A_T43SDC_A036367_20220609T055558
20,2022-07-09 12:58:14,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20220709T125814_20220709T125839_044024_054146_9F76,2022-07-09 05:58:39,COPERNICUS/S2_SR_HARMONIZED/20220709T054651_20220709T055111_T43SDC,L2A_T43SDC_A036796_20220709T055111
21,2022-08-08 01:06:11,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20220808T010611_20220808T010636_044454_054E07_FFF4,2022-08-08 05:58:37,COPERNICUS/S2_SR_HARMONIZED/20220808T054651_20220808T055557_T43SDC,L2A_T43SDC_A037225_20220808T055557
22,2022-09-07 12:58:18,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20220907T125818_20220907T125843_044899_055CF1_6544,2022-09-07 05:58:37,COPERNICUS/S2_SR_HARMONIZED/20220907T054651_20220907T055601_T43SDC,L2A_T43SDC_A037654_20220907T055601
23,2022-09-12 13:06:33,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20220912T130633_20220912T130658_044972_055F65_B397,2022-09-12 05:58:28,COPERNICUS/S2_SR_HARMONIZED/20220912T054639_20220912T055602_T43SDC,L2A_T43SDC_A028817_20220912T055602
24,2022-11-06 12:58:18,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20221106T125818_20221106T125843_045774_0579B1_A811,2022-11-06 05:58:30,COPERNICUS/S2_SR_HARMONIZED/20221106T055031_20221106T055029_T43SDC,L2A_T43SDC_A038512_20221106T055029
25,2022-11-11 13:06:32,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20221111T130632_20221111T130657_045847_057C28_5E53,2022-11-11 05:58:25,COPERNICUS/S2_SR_HARMONIZED/20221111T055049_20221111T055049_T43SDC,L2A_T43SDC_A029675_20221111T055049
26,2023-01-05 12:58:15,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20230105T125815_20230105T125840_046649_059763_C212,2023-01-05 05:58:25,COPERNICUS/S2_SR_HARMONIZED/20230105T055231_20230105T055228_T43SDC,L2A_T43SDC_A039370_20230105T055228
27,2023-02-04 01:06:09,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20230204T010609_20230204T010634_047079_05A5CE_5B3C,2023-02-04 05:58:24,COPERNICUS/S2_SR_HARMONIZED/20230204T055031_20230204T055032_T43SDC,L2A_T43SDC_A039799_20230204T055032
28,2023-03-06 12:58:14,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20230306T125814_20230306T125839_047524_05B4E7_9F47,2023-03-06 05:58:22,COPERNICUS/S2_SR_HARMONIZED/20230306T054711_20230306T055732_T43SDC,L2A_T43SDC_A040228_20230306T055732
29,2023-03-11 13:06:29,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20230311T130629_20230311T130654_047597_05B755_8B89,2023-03-11 05:58:30,COPERNICUS/S2_SR_HARMONIZED/20230311T054649_20230311T055115_T43SDC,L2A_T43SDC_A031391_20230311T055115
30,2023-04-05 01:06:09,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20230405T010609_20230405T010634_047954_05C35C_EDF9,2023-04-05 05:58:25,COPERNICUS/S2_SR_HARMONIZED/20230405T054641_20230405T055104_T43SDC,L2A_T43SDC_A040657_20230405T055104
31,2023-05-10 13:06:30,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20230510T130630_20230510T130655_048472_05D4B1_DE89,2023-05-10 05:58:28,COPERNICUS/S2_SR_HARMONIZED/20230510T054639_20230510T055552_T43SDC,L2A_T43SDC_A032249_20230510T055552
32,2023-06-04 01:06:12,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20230604T010612_20230604T010637_048829_05DF45_2EF3,2023-06-04 05:58:29,COPERNICUS/S2_SR_HARMONIZED/20230604T054641_20230604T055534_T43SDC,L2A_T43SDC_A041515_20230604T055534
33,2023-09-02 12:58:22,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20230902T125822_20230902T125847_050149_060927_ED95,2023-09-02 05:58:31,COPERNICUS/S2_SR_HARMONIZED/20230902T054641_20230902T055245_T43SDC,L2A_T43SDC_A042802_20230902T055245
34,2023-09-07 13:06:37,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20230907T130637_20230907T130702_050222_060B87_F92F,2023-09-07 05:58:30,COPERNICUS/S2_SR_HARMONIZED/20230907T054639_20230907T055157_T43SDC,L2A_T43SDC_A033965_20230907T055157
