,s1_dates,s1_system_ids,s2_dates,s2_system_ids,s2_granule_ids
0,2019-01-20 20:51:24,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190120T205124_20190120T205149_025566_02D63C_F6F3,2019-01-21 01:47:09,COPERNICUS/S2_SR_HARMONIZED/20190121T014001_20190121T013955_T53SPA,L2A_T53SPA_A018704_20190121T013955
1,2019-03-26 20:59:18,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190326T205918_20190326T205947_026514_02F86C_123A,2019-03-27 01:47:13,COPERNICUS/S2_SR_HARMONIZED/20190327T013659_20190327T013654_T53SPA,L2A_T53SPA_A010725_20190327T013654
2,2019-07-24 20:59:24,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190724T205924_20190724T205953_028264_033166_4ADB,2019-07-25 01:47:20,COPERNICUS/S2_SR_HARMONIZED/20190725T013659_20190725T013701_T53SPA,L2A_T53SPA_A012441_20190725T013701
3,2019-09-17 20:51:32,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190917T205132_20190917T205157_029066_034C71_A815,2019-09-18 01:47:12,COPERNICUS/S2_SR_HARMONIZED/20190918T013651_20190918T014524_T53SPA,L2A_T53SPA_A022136_20190918T014524
4,2020-09-11 20:51:38,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20200911T205138_20200911T205203_034316_03FD4A_CCCE,2020-09-12 01:47:16,COPERNICUS/S2_SR_HARMONIZED/20200912T013701_20200912T014511_T53SPA,L2A_T53SPA_A027284_20200912T014511
5,2020-11-15 20:59:33,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20201115T205933_20201115T210003_035264_041E57_1BD7,2020-11-16 01:47:13,COPERNICUS/S2_SR_HARMONIZED/20201116T013929_20201116T013931_T53SPA,L2A_T53SPA_A019305_20201116T013931
6,2020-11-16 08:50:04,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20201116T085004_20201116T085029_024288_02E2EB_8FA6,2020-11-16 01:47:13,COPERNICUS/S2_SR_HARMONIZED/20201116T013929_20201116T013931_T53SPA,L2A_T53SPA_A019305_20201116T013931
7,2021-01-14 20:59:31,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20210114T205931_20210114T210000_036139_043CAE_882F,2021-01-15 01:47:12,COPERNICUS/S2_SR_HARMONIZED/20210115T014019_20210115T014017_T53SPA,L2A_T53SPA_A020163_20210115T014017
8,2021-01-15 08:50:02,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20210115T085002_20210115T085027_025163_02FEF9_5D0C,2021-01-15 01:47:12,COPERNICUS/S2_SR_HARMONIZED/20210115T014019_20210115T014017_T53SPA,L2A_T53SPA_A020163_20210115T014017
9,2021-03-10 20:51:35,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20210310T205135_20210310T205200_036941_04589E_BC69,2021-03-11 01:47:12,COPERNICUS/S2_SR_HARMONIZED/20210311T013651_20210311T013653_T53SPA,L2A_T53SPA_A029858_20210311T013653
10,2021-05-14 20:59:32,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20210514T205932_20210514T210001_037889_0478C3_4FD0,2021-05-15 01:47:11,COPERNICUS/S2_SR_HARMONIZED/20210515T013649_20210515T013652_T53SPA,L2A_T53SPA_A021879_20210515T013652
11,2021-05-15 08:50:03,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20210515T085003_20210515T085028_026913_03371D_D0D7,2021-05-15 01:47:11,COPERNICUS/S2_SR_HARMONIZED/20210515T013649_20210515T013652_T53SPA,L2A_T53SPA_A021879_20210515T013652
12,2021-07-13 20:59:36,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20210713T205936_20210713T210005_038764_0492FF_FAB4,2021-07-14 01:47:14,COPERNICUS/S2_SR_HARMONIZED/20210714T013659_20210714T013655_T53SPA,L2A_T53SPA_A022737_20210714T013655
13,2021-07-14 08:50:07,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20210714T085007_20210714T085032_027788_0350ED_5B91,2021-07-14 01:47:14,COPERNICUS/S2_SR_HARMONIZED/20210714T013659_20210714T013655_T53SPA,L2A_T53SPA_A022737_20210714T013655
14,2022-01-09 20:59:37,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20220109T205937_20220109T210006_041389_04EBCB_D933,2022-01-10 01:47:08,COPERNICUS/S2_SR_HARMONIZED/20220110T014029_20220110T014029_T53SPA,L2A_T53SPA_A025311_20220110T014029
