,s1_dates,s1_system_ids,s2_dates,s2_system_ids,s2_granule_ids
0,2022-04-08 12:50:30,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20220408T125030_20220408T125055_042682_0517BB_70F9,2022-04-08 17:49:49,COPERNICUS/S2_SR_HARMONIZED/20220408T173859_20220408T174106_T14ULB,L2A_T14ULB_A026579_20220408T174106
1,2022-04-17 00:32:55,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20220417T003255_20220417T003324_042806_051BEF_97AE,2022-04-16 17:59:53,COPERNICUS/S2_SR_HARMONIZED/20220416T174911_20220416T175208_T14ULB,L2A_T14ULB_A035602_20220416T175208
2,2022-05-26 12:50:33,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20220526T125033_20220526T125058_043382_052E36_D2AC,2022-05-26 17:59:57,COPERNICUS/S2_SR_HARMONIZED/20220526T174921_20220526T175555_T14ULB,L2A_T14ULB_A036174_20220526T175555
3,2022-06-28 00:32:59,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20220628T003259_20220628T003328_043856_053C4D_160E,2022-06-27 17:49:57,COPERNICUS/S2_SR_HARMONIZED/20220627T173909_20220627T174816_T14ULB,L2A_T14ULB_A027723_20220627T174816
4,2022-07-30 12:58:38,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20220730T125838_20220730T125903_044330_054A5D_2806,2022-07-30 17:59:54,COPERNICUS/S2_SR_HARMONIZED/20220730T174909_20220730T175730_T14ULB,L2A_T14ULB_A028195_20220730T175730
5,2022-08-15 00:33:02,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20220815T003302_20220815T003331_044556_055157_1852,2022-08-14 18:00:02,COPERNICUS/S2_SR_HARMONIZED/20220814T174921_20220814T175922_T14ULB,L2A_T14ULB_A037318_20220814T175922
6,2022-08-27 00:33:03,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20220827T003303_20220827T003332_044731_055741_F654,2022-08-26 17:49:52,COPERNICUS/S2_SR_HARMONIZED/20220826T173909_20220826T174312_T14ULB,L2A_T14ULB_A028581_20220826T174312
7,2022-09-28 12:58:40,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20220928T125840_20220928T125905_045205_056733_08FD,2022-09-28 17:59:49,COPERNICUS/S2_SR_HARMONIZED/20220928T175119_20220928T175216_T14ULB,L2A_T14ULB_A029053_20220928T175216
8,2022-10-10 12:58:40,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20221010T125840_20221010T125905_045380_056D14_A335,2022-10-10 17:49:58,COPERNICUS/S2_SR_HARMONIZED/20221010T174251_20221010T174346_T14ULB,L2A_T14ULB_A038133_20221010T174346
9,2022-12-09 12:58:39,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20221209T125839_20221209T125904_046255_0589FA_5AA2,2022-12-09 17:49:53,COPERNICUS/S2_SR_HARMONIZED/20221209T174731_20221209T174728_T14ULB,L2A_T14ULB_A038991_20221209T174728
10,2022-12-25 00:33:02,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20221225T003302_20221225T003331_046481_0591B0_5F25,2022-12-24 17:49:51,COPERNICUS/S2_SR_HARMONIZED/20221224T174739_20221224T174740_T14ULB,L2A_T14ULB_A030297_20221224T174740
11,2023-01-21 12:50:36,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20230121T125036_20230121T125101_046882_059F32_2B96,2023-01-21 17:59:45,COPERNICUS/S2_SR_HARMONIZED/20230121T175641_20230121T175754_T14ULB,L2A_T14ULB_A039606_20230121T175754
12,2023-02-07 12:58:36,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20230207T125836_20230207T125901_047130_05A786_C85D,2023-02-07 17:49:51,COPERNICUS/S2_SR_HARMONIZED/20230207T174511_20230207T174510_T14ULB,L2A_T14ULB_A039849_20230207T174510
13,2023-03-22 12:50:35,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20230322T125035_20230322T125100_047757_05BCBA_DA72,2023-03-22 17:59:48,COPERNICUS/S2_SR_HARMONIZED/20230322T175021_20230322T175154_T14ULB,L2A_T14ULB_A040464_20230322T175154
14,2023-04-08 12:58:37,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20230408T125837_20230408T125902_048005_05C515_EB7E,2023-04-08 17:49:52,COPERNICUS/S2_SR_HARMONIZED/20230408T173901_20230408T174902_T14ULB,L2A_T14ULB_A040707_20230408T174902
15,2023-04-12 00:33:01,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20230412T003301_20230412T003330_048056_05C6D4_92F9,2023-04-11 17:59:49,COPERNICUS/S2_SR_HARMONIZED/20230411T174911_20230411T175556_T14ULB,L2A_T14ULB_A040750_20230411T175556
16,2023-04-24 00:33:01,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20230424T003301_20230424T003330_048231_05CCAD_109D,2023-04-23 17:49:54,COPERNICUS/S2_SR_HARMONIZED/20230423T173909_20230423T174122_T14ULB,L2A_T14ULB_A032013_20230423T174122
17,2023-06-07 12:58:39,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20230607T125839_20230607T125904_048880_05E0CE_C85A,2023-06-07 17:49:56,COPERNICUS/S2_SR_HARMONIZED/20230607T173911_20230607T174416_T14ULB,L2A_T14ULB_A041565_20230607T174416
18,2023-06-11 00:33:03,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20230611T003303_20230611T003332_048931_05E258_356C,2023-06-10 17:59:53,COPERNICUS/S2_SR_HARMONIZED/20230610T174911_20230610T175445_T14ULB,L2A_T14ULB_A041608_20230610T175445
19,2023-06-23 00:33:04,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20230623T003304_20230623T003333_049106_05E7AA_F038,2023-06-22 17:49:56,COPERNICUS/S2_SR_HARMONIZED/20230622T173909_20230622T174840_T14ULB,L2A_T14ULB_A032871_20230622T174840
20,2023-07-20 12:50:41,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20230720T125041_20230720T125106_049507_05F3F9_EE18,2023-07-20 17:59:53,COPERNICUS/S2_SR_HARMONIZED/20230720T174911_20230720T175524_T14ULB,L2A_T14ULB_A042180_20230720T175524
21,2023-08-01 12:50:42,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20230801T125042_20230801T125107_049682_05F965_F13F,2023-08-01 17:49:57,COPERNICUS/S2_SR_HARMONIZED/20230801T173909_20230801T174638_T14ULB,L2A_T14ULB_A033443_20230801T174638
22,2023-08-06 12:58:43,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20230806T125843_20230806T125908_049755_05FB9F_A563,2023-08-06 17:49:57,COPERNICUS/S2_SR_HARMONIZED/20230806T173911_20230806T174909_T14ULB,L2A_T14ULB_A042423_20230806T174909
23,2023-09-18 12:50:45,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20230918T125045_20230918T125110_050382_0610F9_A578,2023-09-18 17:59:52,COPERNICUS/S2_SR_HARMONIZED/20230918T175011_20230918T175056_T14ULB,L2A_T14ULB_A043038_20230918T175056
24,2023-10-09 00:33:09,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20231009T003309_20231009T003338_050681_061B47_1457,2023-10-08 17:59:49,COPERNICUS/S2_SR_HARMONIZED/20231008T175231_20231008T175927_T14ULB,L2A_T14ULB_A043324_20231008T175927
