,s1_dates,s1_system_ids,s2_dates,s2_system_ids,s2_granule_ids
0,2022-04-08 12:51:20,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20220408T125120_20220408T125145_042682_0517BB_B615,2022-04-08 17:50:42,COPERNICUS/S2_SR_HARMONIZED/20220408T173859_20220408T174106_T14TMT,L2A_T14TMT_A026579_20220408T174106
1,2022-04-20 12:51:21,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20220420T125121_20220420T125146_042857_051D98_E4AB,2022-04-20 17:40:53,COPERNICUS/S2_SR_HARMONIZED/20220420T172901_20220420T173837_T14TMT,L2A_T14TMT_A035659_20220420T173837
2,2022-06-02 12:43:15,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20220602T124315_20220602T124340_043484_053128_9F26,2022-06-02 17:50:53,COPERNICUS/S2_SR_HARMONIZED/20220602T173911_20220602T174128_T14TMT,L2A_T14TMT_A036274_20220602T174128
3,2022-06-19 12:51:25,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20220619T125125_20220619T125150_043732_05389A_22C8,2022-06-19 17:41:00,COPERNICUS/S2_SR_HARMONIZED/20220619T172911_20220619T173605_T14TMT,L2A_T14TMT_A036517_20220619T173605
4,2022-08-01 12:43:18,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20220801T124318_20220801T124343_044359_054B3B_A339,2022-08-01 17:50:55,COPERNICUS/S2_SR_HARMONIZED/20220801T173911_20220801T174901_T14TMT,L2A_T14TMT_A037132_20220801T174901
5,2022-08-18 12:51:28,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20220818T125128_20220818T125153_044607_055313_7F43,2022-08-18 17:41:01,COPERNICUS/S2_SR_HARMONIZED/20220818T172911_20220818T173349_T14TMT,L2A_T14TMT_A037375_20220818T173349
6,2022-09-30 12:43:21,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20220930T124321_20220930T124346_045234_05682A_4AF6,2022-09-30 17:50:52,COPERNICUS/S2_SR_HARMONIZED/20220930T174141_20220930T174441_T14TMT,L2A_T14TMT_A037990_20220930T174441
7,2022-10-05 12:51:30,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20221005T125130_20221005T125155_045307_056AA5_F2FF,2022-10-05 17:50:42,COPERNICUS/S2_SR_HARMONIZED/20221005T174159_20221005T174859_T14TMT,L2A_T14TMT_A029153_20221005T174859
8,2022-12-04 12:51:29,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20221204T125129_20221204T125154_046182_05877C_309C,2022-12-04 17:50:42,COPERNICUS/S2_SR_HARMONIZED/20221204T174719_20221204T174714_T14TMT,L2A_T14TMT_A030011_20221204T174714
9,2022-12-11 12:43:20,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20221211T124320_20221211T124345_046284_058AF6_8703,2022-12-11 17:40:46,COPERNICUS/S2_SR_HARMONIZED/20221211T173729_20221211T173757_T14TMT,L2A_T14TMT_A030111_20221211T173757
10,2023-02-09 12:43:16,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20230209T124316_20230209T124341_047159_05A87E_E337,2023-02-09 17:40:47,COPERNICUS/S2_SR_HARMONIZED/20230209T173459_20230209T173454_T14TMT,L2A_T14TMT_A030969_20230209T173454
11,2023-02-14 12:51:26,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20230214T125126_20230214T125151_047232_05AADF_C822,2023-02-14 17:40:46,COPERNICUS/S2_SR_HARMONIZED/20230214T173421_20230214T174005_T14TMT,L2A_T14TMT_A039949_20230214T174005
12,2023-04-10 12:43:17,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20230410T124317_20230410T124342_048034_05C617_FE81,2023-04-10 17:40:50,COPERNICUS/S2_SR_HARMONIZED/20230410T172859_20230410T173356_T14TMT,L2A_T14TMT_A031827_20230410T173356
13,2023-05-28 12:43:19,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20230528T124319_20230528T124344_048734_05DC6C_BB8A,2023-05-28 17:50:49,COPERNICUS/S2_SR_HARMONIZED/20230528T173911_20230528T174651_T14TMT,L2A_T14TMT_A041422_20230528T174651
14,2023-06-02 12:51:29,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20230602T125129_20230602T125154_048807_05DE94_DC7C,2023-06-02 17:50:49,COPERNICUS/S2_SR_HARMONIZED/20230602T173909_20230602T174724_T14TMT,L2A_T14TMT_A032585_20230602T174724
15,2023-06-09 12:43:20,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20230609T124320_20230609T124345_048909_05E1B0_68E3,2023-06-09 17:40:53,COPERNICUS/S2_SR_HARMONIZED/20230609T172859_20230609T173907_T14TMT,L2A_T14TMT_A032685_20230609T173907
16,2023-06-14 12:51:29,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20230614T125129_20230614T125154_048982_05E3F0_2EB6,2023-06-14 17:40:53,COPERNICUS/S2_SR_HARMONIZED/20230614T172901_20230614T173346_T14TMT,L2A_T14TMT_A041665_20230614T173346
17,2023-08-01 12:51:32,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20230801T125132_20230801T125157_049682_05F965_AE84,2023-08-01 17:50:50,COPERNICUS/S2_SR_HARMONIZED/20230801T173909_20230801T174638_T14TMT,L2A_T14TMT_A033443_20230801T174638
18,2023-09-30 12:51:35,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20230930T125135_20230930T125200_050557_0616F4_432C,2023-09-30 17:50:47,COPERNICUS/S2_SR_HARMONIZED/20230930T174039_20230930T174155_T14TMT,L2A_T14TMT_A034301_20230930T174155
19,2023-11-24 12:43:25,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20231124T124325_20231124T124350_051359_06328C_0114,2023-11-24 17:50:40,COPERNICUS/S2_SR_HARMONIZED/20231124T174641_20231124T174641_T14TMT,L2A_T14TMT_A043996_20231124T174641
20,2023-11-29 12:51:33,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20231129T125133_20231129T125158_051432_063503_AAB0,2023-11-29 17:50:42,COPERNICUS/S2_SR_HARMONIZED/20231129T174659_20231129T174700_T14TMT,L2A_T14TMT_A035159_20231129T174700
21,2024-01-28 12:51:31,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20240128T125131_20240128T125156_052307_065306_42B8,2024-01-28 17:50:43,COPERNICUS/S2_SR_HARMONIZED/20240128T174609_20240128T174616_T14TMT,L2A_T14TMT_A036017_20240128T174616
22,2024-03-28 12:51:31,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20240328T125131_20240328T125156_053182_067194_0534,2024-03-28 17:50:45,COPERNICUS/S2_SR_HARMONIZED/20240328T173859_20240328T174749_T14TMT,L2A_T14TMT_A036875_20240328T174749
23,2024-04-04 12:43:23,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20240404T124323_20240404T124348_053284_06757D_C29D,2024-04-04 17:40:46,COPERNICUS/S2_SR_HARMONIZED/20240404T172859_20240404T173317_T14TMT,L2A_T14TMT_A036975_20240404T173317
24,2024-05-22 12:43:23,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20240522T124323_20240522T124348_053984_069008_96CB,2024-05-22 17:50:44,COPERNICUS/S2_SR_HARMONIZED/20240522T173901_20240522T174948_T14TMT,L2A_T14TMT_A046570_20240522T174948
25,2024-05-27 12:51:32,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20240527T125132_20240527T125157_054057_069295_D9E2,2024-05-27 17:50:45,COPERNICUS/S2_SR_HARMONIZED/20240527T173859_20240527T174720_T14TMT,L2A_T14TMT_A037733_20240527T174720
26,2024-07-21 12:43:21,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20240721T124321_20240721T124346_054859_06AE5C_3C7C,2024-07-21 17:50:46,COPERNICUS/S2_SR_HARMONIZED/20240721T173901_20240721T174059_T14TMT,L2A_T14TMT_A047428_20240721T174059
27,2024-08-02 12:43:21,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20240802T124321_20240802T124346_055034_06B476_C655,2024-08-02 17:40:49,COPERNICUS/S2_SR_HARMONIZED/20240802T172859_20240802T173921_T14TMT,L2A_T14TMT_A038691_20240802T173921
28,2019-02-09 00:22:46,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190209T002246_20190209T002311_014862_01BBD3_B0D6,2019-02-08 17:50:42,COPERNICUS/S2_SR_HARMONIZED/20190208T174501_20190208T174525_T14TMT,L2A_T14TMT_A018971_20190208T174525
