,s1_dates,s1_system_ids,s2_dates,s2_system_ids,s2_granule_ids
0,2019-01-22 09:18:48,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190122T091848_20190122T091913_025588_02D700_A082,2019-01-22 14:07:45,COPERNICUS/S2_SR_HARMONIZED/20190122T140049_20190122T140052_T21KVV,L2A_T21KVV_A009817_20190122T140052
1,2019-03-23 09:18:47,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190323T091847_20190323T091912_026463_02F69C_F69D,2019-03-23 14:07:45,COPERNICUS/S2_SR_HARMONIZED/20190323T140049_20190323T140052_T21KVV,L2A_T21KVV_A010675_20190323T140052
2,2019-07-21 09:18:53,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190721T091853_20190721T091918_028213_032FE9_27E3,2019-07-21 14:07:53,COPERNICUS/S2_SR_HARMONIZED/20190721T140059_20190721T140101_T21KVV,L2A_T21KVV_A012391_20190721T140101
3,2019-09-19 09:18:56,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190919T091856_20190919T091921_029088_034D2C_0DD5,2019-09-19 14:07:44,COPERNICUS/S2_SR_HARMONIZED/20190919T140049_20190919T140051_T21KVV,L2A_T21KVV_A013249_20190919T140051
4,2019-11-18 09:18:56,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20191118T091856_20191118T091921_029963_036B7A_3678,2019-11-18 14:07:43,COPERNICUS/S2_SR_HARMONIZED/20191118T140049_20191118T140050_T21KVV,L2A_T21KVV_A014107_20191118T140050
5,2020-03-17 09:18:53,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20200317T091853_20200317T091918_031713_03A82F_79AC,2020-03-17 14:07:43,COPERNICUS/S2_SR_HARMONIZED/20200317T140049_20200317T140644_T21KVV,L2A_T21KVV_A015823_20200317T140644
6,2020-05-16 09:18:56,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20200516T091856_20200516T091921_032588_03C648_8C6F,2020-05-16 14:07:44,COPERNICUS/S2_SR_HARMONIZED/20200516T140049_20200516T140051_T21KVV,L2A_T21KVV_A016681_20200516T140051
7,2020-07-15 09:18:59,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20200715T091859_20200715T091924_033463_03E0B0_AEAA,2020-07-15 14:07:46,COPERNICUS/S2_SR_HARMONIZED/20200715T140059_20200715T140053_T21KVV,L2A_T21KVV_A017539_20200715T140053
8,2020-09-13 09:19:02,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20200913T091902_20200913T091927_034338_03FE09_E1E3,2020-09-13 14:07:47,COPERNICUS/S2_SR_HARMONIZED/20200913T140059_20200913T140054_T21KVV,L2A_T21KVV_A018397_20200913T140054
9,2021-01-11 09:19:00,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20210111T091900_20210111T091925_036088_043AE1_AF1C,2021-01-11 14:07:44,COPERNICUS/S2_SR_HARMONIZED/20210111T140049_20210111T140051_T21KVV,L2A_T21KVV_A020113_20210111T140051
10,2021-03-12 09:18:59,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20210312T091859_20210312T091924_036963_045951_17FC,2021-03-12 14:07:44,COPERNICUS/S2_SR_HARMONIZED/20210312T140049_20210312T140051_T21KVV,L2A_T21KVV_A020971_20210312T140051
11,2021-05-11 09:19:01,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20210511T091901_20210511T091926_037838_047747_F590,2021-05-11 14:07:43,COPERNICUS/S2_SR_HARMONIZED/20210511T140049_20210511T140050_T21KVV,L2A_T21KVV_A021829_20210511T140050
12,2021-07-10 09:19:05,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20210710T091905_20210710T091930_038713_04917F_6BD3,2021-07-10 14:07:46,COPERNICUS/S2_SR_HARMONIZED/20210710T140059_20210710T140054_T21KVV,L2A_T21KVV_A022687_20210710T140054
13,2021-09-08 09:19:08,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20210908T091908_20210908T091933_039588_04ADF4_030D,2021-09-08 14:07:41,COPERNICUS/S2_SR_HARMONIZED/20210908T140019_20210908T140013_T21KVV,L2A_T21KVV_A023545_20210908T140013
14,2022-01-06 09:19:06,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20220106T091906_20220106T091931_041338_04EA14_6EFF,2022-01-06 14:07:41,COPERNICUS/S2_SR_HARMONIZED/20220106T140049_20220106T140048_T21KVV,L2A_T21KVV_A025261_20220106T140048
15,2022-03-07 09:19:05,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20220307T091905_20220307T091930_042213_0507DE_95CC,2022-03-07 14:07:42,COPERNICUS/S2_SR_HARMONIZED/20220307T140049_20220307T140050_T21KVV,L2A_T21KVV_A026119_20220307T140050
16,2022-05-06 09:19:06,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20220506T091906_20220506T091931_043088_052537_F6B3,2022-05-06 14:07:41,COPERNICUS/S2_SR_HARMONIZED/20220506T140049_20220506T140048_T21KVV,L2A_T21KVV_A026977_20220506T140048
17,2022-07-05 09:19:10,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20220705T091910_20220705T091935_043963_053F78_0C84,2022-07-05 14:07:50,COPERNICUS/S2_SR_HARMONIZED/20220705T135709_20220705T135807_T21KVV,L2A_T21KVV_A027835_20220705T135807
18,2022-09-03 09:19:14,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20220903T091914_20220903T091939_044838_055AE0_EBBF,2022-09-03 14:07:46,COPERNICUS/S2_SR_HARMONIZED/20220903T135709_20220903T140715_T21KVV,L2A_T21KVV_A028693_20220903T140715
19,2022-11-02 09:19:14,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20221102T091914_20221102T091939_045713_057796_23DB,2022-11-02 14:07:42,COPERNICUS/S2_SR_HARMONIZED/20221102T135659_20221102T135701_T21KVV,L2A_T21KVV_A029551_20221102T135701
20,2023-05-01 09:19:12,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20230501T091912_20230501T091937_048338_05D048_6B2B,2023-05-01 14:07:47,COPERNICUS/S2_SR_HARMONIZED/20230501T135709_20230501T135706_T21KVV,L2A_T21KVV_A032125_20230501T135706
21,2023-06-30 09:19:15,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20230630T091915_20230630T091940_049213_05EAF0_1DA5,2023-06-30 14:07:50,COPERNICUS/S2_SR_HARMONIZED/20230630T135709_20230630T140406_T21KVV,L2A_T21KVV_A032983_20230630T140406
22,2023-08-29 09:19:19,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20230829T091919_20230829T091944_050088_0606FE_DAF4,2023-08-29 14:07:49,COPERNICUS/S2_SR_HARMONIZED/20230829T135709_20230829T140647_T21KVV,L2A_T21KVV_A033841_20230829T140647
23,2023-12-27 09:19:17,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20231227T091917_20231227T091942_051838_06431C_AEA3,2023-12-27 14:07:46,COPERNICUS/S2_SR_HARMONIZED/20231227T135709_20231227T135703_T21KVV,L2A_T21KVV_A035557_20231227T135703
24,2024-04-25 09:19:17,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20240425T091917_20240425T091942_053588_06817E_B729,2024-04-25 14:07:43,COPERNICUS/S2_SR_HARMONIZED/20240425T135659_20240425T135819_T21KVV,L2A_T21KVV_A037273_20240425T135819
