,s1_dates,s1_system_ids,s2_dates,s2_system_ids,s2_granule_ids
0,2022-08-20 12:33:56,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20220820T123356_20220820T123425_044636_05541A_6514,2022-08-20 17:29:38,COPERNICUS/S2_SR_HARMONIZED/20220820T171859_20220820T172340_T15UVS,L2A_T15UVS_A028495_20220820T172340
1,2022-10-19 12:33:57,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20221019T123357_20221019T123426_045511_057105_23B2,2022-10-19 17:29:36,COPERNICUS/S2_SR_HARMONIZED/20221019T172329_20221019T172904_T15UVS,L2A_T15UVS_A029353_20221019T172904
2,2023-04-17 12:33:54,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20230417T123354_20230417T123423_048136_05C989_A25D,2023-04-17 17:29:37,COPERNICUS/S2_SR_HARMONIZED/20230417T171859_20230417T172611_T15UVS,L2A_T15UVS_A031927_20230417T172611
3,2023-06-16 12:33:57,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20230616T123357_20230616T123426_049011_05E4CF_5092,2023-06-16 17:29:42,COPERNICUS/S2_SR_HARMONIZED/20230616T171859_20230616T172725_T15UVS,L2A_T15UVS_A032785_20230616T172725
4,2023-08-15 12:34:00,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20230815T123400_20230815T123429_049886_060019_86CC,2023-08-15 17:29:42,COPERNICUS/S2_SR_HARMONIZED/20230815T171859_20230815T171900_T15UVS,L2A_T15UVS_A033643_20230815T171900
5,2023-10-14 12:34:02,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20231014T123402_20231014T123431_050761_061E04_103E,2023-10-14 17:29:39,COPERNICUS/S2_SR_HARMONIZED/20231014T172259_20231014T172259_T15UVS,L2A_T15UVS_A034501_20231014T172259
6,2024-06-10 12:33:59,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20240610T123359_20240610T123428_054261_0699A4_AB8D,2024-06-10 17:29:40,COPERNICUS/S2_SR_HARMONIZED/20240610T171859_20240610T172701_T15UVS,L2A_T15UVS_A037933_20240610T172701
7,2018-02-22 23:59:01,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180222T235901_20180222T235926_009743_011983_1836,2018-02-22 17:29:29,COPERNICUS/S2_SR_HARMONIZED/20180222T172319_20180222T172349_T15UVS,L2A_T15UVS_A005043_20180222T172349
8,2019-04-18 23:59:09,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190418T235909_20190418T235934_015868_01DCE2_FC8B,2019-04-18 17:29:43,COPERNICUS/S2_SR_HARMONIZED/20190418T171859_20190418T172845_T15UVS,L2A_T15UVS_A011049_20190418T172845
9,2019-08-16 23:59:15,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190816T235915_20190816T235940_017618_021252_C09A,2019-08-16 17:29:43,COPERNICUS/S2_SR_HARMONIZED/20190816T171859_20190816T172231_T15UVS,L2A_T15UVS_A012765_20190816T172231
10,2019-10-21 00:07:21,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20191021T000721_20191021T000746_018566_022FB1_FB28,2019-10-20 17:29:40,COPERNICUS/S2_SR_HARMONIZED/20191020T172341_20191020T172337_T15UVS,L2A_T15UVS_A022603_20191020T172337
11,2019-12-14 23:59:16,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20191214T235916_20191214T235941_019368_024957_0E6F,2019-12-14 17:29:31,COPERNICUS/S2_SR_HARMONIZED/20191214T172719_20191214T172722_T15UVS,L2A_T15UVS_A014481_20191214T172722
12,2020-04-18 00:07:18,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20200418T000718_20200418T000743_021191_028361_E449,2020-04-17 17:29:37,COPERNICUS/S2_SR_HARMONIZED/20200417T171901_20200417T172830_T15UVS,L2A_T15UVS_A025177_20200417T172830
13,2020-08-10 23:59:21,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20200810T235921_20200810T235946_022868_02B689_175A,2020-08-10 17:29:40,COPERNICUS/S2_SR_HARMONIZED/20200810T171859_20200810T171857_T15UVS,L2A_T15UVS_A017913_20200810T171857
14,2020-08-16 00:07:25,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20200816T000725_20200816T000750_022941_02B8B7_C343,2020-08-15 17:29:43,COPERNICUS/S2_SR_HARMONIZED/20200815T171901_20200815T172237_T15UVS,L2A_T15UVS_A026893_20200815T172237
15,2021-08-11 00:07:31,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20210811T000731_20210811T000756_028191_035CFA_7112,2021-08-10 17:29:39,COPERNICUS/S2_SR_HARMONIZED/20210810T171901_20210810T172654_T15UVS,L2A_T15UVS_A032041_20210810T172654
16,2021-12-09 00:07:32,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20211209T000732_20211209T000757_029941_03930A_4C97,2021-12-08 17:29:35,COPERNICUS/S2_SR_HARMONIZED/20211208T172721_20211208T172716_T15UVS,L2A_T15UVS_A033757_20211208T172716
