,s1_dates,s1_system_ids,s2_dates,s2_system_ids,s2_granule_ids
0,2018-12-18 02:14:31,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20181218T021431_20181218T021456_014090_01A2AC_2438,2018-12-18 07:04:11,COPERNICUS/S2_SR_HARMONIZED/20181218T070301_20181218T070301_T41UMA,L2A_T41UMA_A018221_20181218T070301
1,2019-02-11 02:06:34,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190211T020634_20190211T020659_014892_01BCC7_42CE,2019-02-11 07:04:20,COPERNICUS/S2_SR_HARMONIZED/20190211T070019_20190211T070022_T41UMA,L2A_T41UMA_A010099_20190211T070022
2,2019-03-31 02:06:34,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190331T020634_20190331T020659_015592_01D3AC_037A,2019-03-31 07:14:17,COPERNICUS/S2_SR_HARMONIZED/20190331T070621_20190331T071146_T41UMA,L2A_T41UMA_A019694_20190331T071146
3,2019-04-12 02:06:35,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190412T020635_20190412T020700_015767_01D97F_D4FA,2019-04-12 07:04:24,COPERNICUS/S2_SR_HARMONIZED/20190412T065629_20190412T065627_T41UMA,L2A_T41UMA_A010957_20190412T065627
4,2019-05-30 02:06:37,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190530T020637_20190530T020702_016467_01EFF4_6D58,2019-05-30 07:14:19,COPERNICUS/S2_SR_HARMONIZED/20190530T070621_20190530T071207_T41UMA,L2A_T41UMA_A020552_20190530T071207
5,2019-06-11 02:06:37,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190611T020637_20190611T020702_016642_01F529_3C0E,2019-06-11 07:04:27,COPERNICUS/S2_SR_HARMONIZED/20190611T065629_20190611T065828_T41UMA,L2A_T41UMA_A011815_20190611T065828
6,2019-11-26 02:06:43,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20191126T020643_20191126T020708_019092_02407E_F85B,2019-11-26 07:14:12,COPERNICUS/S2_SR_HARMONIZED/20191126T071231_20191126T071228_T41UMA,L2A_T41UMA_A023126_20191126T071228
7,2019-12-08 02:06:43,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20191208T020643_20191208T020708_019267_024606_5864,2019-12-08 07:04:14,COPERNICUS/S2_SR_HARMONIZED/20191208T070249_20191208T070251_T41UMA,L2A_T41UMA_A014389_20191208T070251
8,2020-01-25 02:06:41,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20200125T020641_20200125T020706_019967_025C50_AAFA,2020-01-25 07:14:10,COPERNICUS/S2_SR_HARMONIZED/20200125T071151_20200125T071247_T41UMA,L2A_T41UMA_A023984_20200125T071247
9,2020-01-30 02:14:35,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20200130T021435_20200130T021500_020040_025EB2_6829,2020-01-30 07:14:09,COPERNICUS/S2_SR_HARMONIZED/20200130T071209_20200130T071203_T41UMA,L2A_T41UMA_A015147_20200130T071203
