,s1_dates,s1_system_ids,s2_dates,s2_system_ids,s2_granule_ids
0,2019-03-13 01:17:27,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190313T011727_20190313T011752_015329_01CB2C_5E8E,2019-03-13 06:14:20,COPERNICUS/S2_SR_HARMONIZED/20190313T060631_20190313T060741_T43UEU,L2A_T43UEU_A019436_20190313T060741
1,2019-05-07 01:09:31,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190507T010931_20190507T010956_016131_01E59E_7914,2019-05-07 06:14:33,COPERNICUS/S2_SR_HARMONIZED/20190507T060639_20190507T060640_T43UEU,L2A_T43UEU_A011314_20190507T060640
2,2019-07-06 01:09:35,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190706T010935_20190706T011000_017006_01FFEC_67EF,2019-07-06 06:14:33,COPERNICUS/S2_SR_HARMONIZED/20190706T060639_20190706T060640_T43UEU,L2A_T43UEU_A012172_20190706T060640
3,2019-07-11 01:17:33,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190711T011733_20190711T011758_017079_020229_144D,2019-07-11 06:14:30,COPERNICUS/S2_SR_HARMONIZED/20190711T060641_20190711T060637_T43UEU,L2A_T43UEU_A021152_20190711T060637
4,2019-09-04 01:09:38,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190904T010938_20190904T011003_017881_021A6B_0E88,2019-09-04 06:14:27,COPERNICUS/S2_SR_HARMONIZED/20190904T060639_20190904T061351_T43UEU,L2A_T43UEU_A013030_20190904T061351
5,2019-09-09 01:17:36,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190909T011736_20190909T011801_017954_021CCE_BB70,2019-09-09 06:14:23,COPERNICUS/S2_SR_HARMONIZED/20190909T060631_20190909T060630_T43UEU,L2A_T43UEU_A022010_20190909T060630
6,2019-11-03 01:09:39,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20191103T010939_20191103T011004_018756_0235A3_2477,2019-11-03 06:14:25,COPERNICUS/S2_SR_HARMONIZED/20191103T061019_20191103T061040_T43UEU,L2A_T43UEU_A013888_20191103T061040
7,2020-01-07 01:17:35,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20200107T011735_20200107T011800_019704_025406_29CD,2020-01-07 06:14:19,COPERNICUS/S2_SR_HARMONIZED/20200107T061231_20200107T061229_T43UEU,L2A_T43UEU_A023726_20200107T061229
8,2020-03-07 01:17:33,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20200307T011733_20200307T011758_020579_027012_AE11,2020-03-07 06:14:20,COPERNICUS/S2_SR_HARMONIZED/20200307T060711_20200307T060706_T43UEU,L2A_T43UEU_A024584_20200307T060706
9,2020-05-01 01:09:37,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20200501T010937_20200501T011002_021381_028962_0914,2020-05-01 06:14:21,COPERNICUS/S2_SR_HARMONIZED/20200501T060629_20200501T060628_T43UEU,L2A_T43UEU_A016462_20200501T060628
10,2020-05-06 01:17:35,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20200506T011735_20200506T011800_021454_028BC7_717E,2020-05-06 06:14:28,COPERNICUS/S2_SR_HARMONIZED/20200506T060641_20200506T061201_T43UEU,L2A_T43UEU_A025442_20200506T061201
11,2020-08-29 01:09:44,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20200829T010944_20200829T011009_023131_02BEB5_CD6F,2020-08-29 06:14:28,COPERNICUS/S2_SR_HARMONIZED/20200829T060639_20200829T060953_T43UEU,L2A_T43UEU_A018178_20200829T060953
12,2020-12-27 01:09:44,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20201227T010944_20201227T011009_024881_02F5E5_DC23,2020-12-27 06:14:22,COPERNICUS/S2_SR_HARMONIZED/20201227T061249_20201227T061246_T43UEU,L2A_T43UEU_A019894_20201227T061246
13,2021-01-01 01:17:41,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20210101T011741_20210101T011806_024954_02F849_CB3C,2021-01-01 06:14:25,COPERNICUS/S2_SR_HARMONIZED/20210101T061251_20210101T061245_T43UEU,L2A_T43UEU_A028874_20210101T061245
14,2021-02-25 01:09:42,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20210225T010942_20210225T011007_025756_03121C_1F23,2021-02-25 06:14:23,COPERNICUS/S2_SR_HARMONIZED/20210225T060819_20210225T060844_T43UEU,L2A_T43UEU_A020752_20210225T060844
15,2021-03-02 01:17:39,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20210302T011739_20210302T011804_025829_031492_B36F,2021-03-02 06:14:24,COPERNICUS/S2_SR_HARMONIZED/20210302T060751_20210302T060749_T43UEU,L2A_T43UEU_A029732_20210302T060749
16,2021-06-30 01:17:44,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20210630T011744_20210630T011809_027579_034AD5_BC57,2021-06-30 06:14:26,COPERNICUS/S2_SR_HARMONIZED/20210630T060631_20210630T060851_T43UEU,L2A_T43UEU_A031448_20210630T060851
17,2021-08-24 01:09:50,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20210824T010950_20210824T011015_028381_0362EE_0F54,2021-08-24 06:14:23,COPERNICUS/S2_SR_HARMONIZED/20210824T060629_20210824T060948_T43UEU,L2A_T43UEU_A023326_20210824T060948
18,2021-10-28 01:17:49,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20211028T011749_20211028T011814_029329_03801B_C6E5,2021-10-28 06:14:29,COPERNICUS/S2_SR_HARMONIZED/20211028T060951_20211028T060957_T43UEU,L2A_T43UEU_A033164_20211028T060957
