,s1_dates,s1_system_ids,s2_dates,s2_system_ids,s2_granule_ids
0,2019-02-13 20:42:49,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190213T204249_20190213T204318_025916_02E2CE_BFEE,2019-02-14 02:08:26,COPERNICUS/S2_SR_HARMONIZED/20190214T020759_20190214T020801_T55WEQ,L2A_T55WEQ_A010139_20190214T020801
1,2019-02-16 07:44:50,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190216T074450_20190216T074515_025952_02E402_4DBA,2019-02-16 01:58:25,COPERNICUS/S2_SR_HARMONIZED/20190216T015741_20190216T015742_T55WEQ,L2A_T55WEQ_A019076_20190216T015742
2,2019-02-25 20:42:49,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190225T204249_20190225T204318_026091_02E913_3BB7,2019-02-26 01:58:24,COPERNICUS/S2_SR_HARMONIZED/20190226T015651_20190226T015648_T55WEQ,L2A_T55WEQ_A019219_20190226T015648
3,2019-02-28 07:44:50,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190228T074450_20190228T074515_026127_02EA41_B4A2,2019-02-28 01:48:29,COPERNICUS/S2_SR_HARMONIZED/20190228T014649_20190228T014650_T55WEQ,L2A_T55WEQ_A010339_20190228T014650
4,2019-04-14 20:42:49,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190414T204249_20190414T204318_026791_0302AC_E12B,2019-04-15 02:08:31,COPERNICUS/S2_SR_HARMONIZED/20190415T020659_20190415T020658_T55WEQ,L2A_T55WEQ_A010997_20190415T020658
5,2019-04-29 07:44:52,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190429T074452_20190429T074517_027002_030A3D_2B71,2019-04-29 01:48:38,COPERNICUS/S2_SR_HARMONIZED/20190429T014659_20190429T014659_T55WEQ,L2A_T55WEQ_A011197_20190429T014659
6,2019-05-08 20:42:50,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190508T204250_20190508T204319_027141_030F35_8FA0,2019-05-09 01:48:39,COPERNICUS/S2_SR_HARMONIZED/20190509T014659_20190509T014700_T55WEQ,L2A_T55WEQ_A011340_20190509T014700
7,2019-06-13 20:42:52,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190613T204252_20190613T204321_027666_031F6C_A80D,2019-06-14 02:08:33,COPERNICUS/S2_SR_HARMONIZED/20190614T020659_20190614T020700_T55WEQ,L2A_T55WEQ_A011855_20190614T020700
8,2019-06-16 07:44:54,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190616T074454_20190616T074519_027702_032074_4559,2019-06-16 01:58:32,COPERNICUS/S2_SR_HARMONIZED/20190616T015701_20190616T015656_T55WEQ,L2A_T55WEQ_A020792_20190616T015656
9,2019-06-25 20:42:53,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190625T204253_20190625T204322_027841_0324A3_5E2E,2019-06-26 01:58:33,COPERNICUS/S2_SR_HARMONIZED/20190626T015701_20190626T015657_T55WEQ,L2A_T55WEQ_A020935_20190626T015657
