,s1_dates,s1_system_ids,s2_dates,s2_system_ids,s2_granule_ids
0,2019-02-09 00:26:31,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190209T002631_20190209T002656_014862_01BBD3_6400,2019-02-08 18:36:55,COPERNICUS/S2_SR_HARMONIZED/20190208T183529_20190208T183526_T13VEJ,L2A_T13VEJ_A010063_20190208T183526
1,2019-02-21 00:26:31,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190221T002631_20190221T002656_015037_01C193_4053,2019-02-20 18:26:54,COPERNICUS/S2_SR_HARMONIZED/20190220T182401_20190220T182517_T13VEJ,L2A_T13VEJ_A019143_20190220T182517
2,2019-03-05 00:26:31,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190305T002631_20190305T002656_015212_01C757_459B,2019-03-04 18:16:58,COPERNICUS/S2_SR_HARMONIZED/20190304T181239_20190304T181252_T13VEJ,L2A_T13VEJ_A010406_20190304T181252
3,2019-04-22 00:26:32,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190422T002632_20190422T002657_015912_01DE53_F6EF,2019-04-21 18:27:01,COPERNICUS/S2_SR_HARMONIZED/20190421T181921_20190421T182100_T13VEJ,L2A_T13VEJ_A020001_20190421T182100
4,2019-05-04 00:26:32,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190504T002632_20190504T002657_016087_01E42D_9B35,2019-05-03 18:17:08,COPERNICUS/S2_SR_HARMONIZED/20190503T180929_20190503T180924_T13VEJ,L2A_T13VEJ_A011264_20190503T180924
5,2019-06-21 00:26:35,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190621T002635_20190621T002700_016787_01F97D_F4F6,2019-06-20 18:27:02,COPERNICUS/S2_SR_HARMONIZED/20190620T181921_20190620T181924_T13VEJ,L2A_T13VEJ_A020859_20190620T181924
6,2019-10-07 00:26:40,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20191007T002640_20191007T002705_018362_022978_081B,2019-10-06 18:36:56,COPERNICUS/S2_SR_HARMONIZED/20191006T183229_20191006T183231_T13VEJ,L2A_T13VEJ_A013495_20191006T183231
7,2020-02-04 00:26:37,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20200204T002637_20200204T002702_020112_026117_9988,2020-02-03 18:36:49,COPERNICUS/S2_SR_HARMONIZED/20200203T183549_20200203T183549_T13VEJ,L2A_T13VEJ_A015211_20200203T183549
8,2020-02-16 00:26:37,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20200216T002637_20200216T002702_020287_0266B8_DE85,2020-02-15 18:26:52,COPERNICUS/S2_SR_HARMONIZED/20200215T182431_20200215T182541_T13VEJ,L2A_T13VEJ_A024291_20200215T182541
9,2020-04-16 00:26:38,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20200416T002638_20200416T002703_021162_028283_2E4F,2020-04-15 18:26:58,COPERNICUS/S2_SR_HARMONIZED/20200415T181921_20200415T182644_T13VEJ,L2A_T13VEJ_A025149_20200415T182644
10,2020-06-03 00:26:40,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20200603T002640_20200603T002705_021862_0297E9_2FDB,2020-06-02 18:36:57,COPERNICUS/S2_SR_HARMONIZED/20200602T182919_20200602T183556_T13VEJ,L2A_T13VEJ_A016927_20200602T183556
