,s1_dates,s1_system_ids,s2_dates,s2_system_ids,s2_granule_ids
0,2019-03-03 22:54:23,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190303T225423_20190303T225448_026180_02EC32_4324,2019-03-03 16:18:32,COPERNICUS/S2_SR_HARMONIZED/20190303T161151_20190303T161148_T18UVD,L2A_T18UVD_A019299_20190303T161148
1,2019-05-02 22:54:24,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190502T225424_20190502T225449_027055_030C2D_944E,2019-05-02 16:18:41,COPERNICUS/S2_SR_HARMONIZED/20190502T160911_20190502T161614_T18UVD,L2A_T18UVD_A020157_20190502T161614
2,2019-05-14 22:54:25,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190514T225425_20190514T225450_027230_0311EE_E67E,2019-05-14 16:08:48,COPERNICUS/S2_SR_HARMONIZED/20190514T155829_20190514T155829_T18UVD,L2A_T18UVD_A011420_20190514T155829
3,2019-09-11 22:54:31,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190911T225431_20190911T225456_028980_034973_F100,2019-09-11 16:08:41,COPERNICUS/S2_SR_HARMONIZED/20190911T155829_20190911T160352_T18UVD,L2A_T18UVD_A013136_20190911T160352
4,2020-02-26 22:54:29,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20200226T225429_20200226T225454_031430_039E4F_9A5C,2020-02-26 16:18:33,COPERNICUS/S2_SR_HARMONIZED/20200226T161231_20200226T161515_T18UVD,L2A_T18UVD_A024447_20200226T161515
5,2020-03-04 22:46:19,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20200304T224619_20200304T224644_031532_03A1EE_7016,2020-03-04 16:08:35,COPERNICUS/S2_SR_HARMONIZED/20200304T160131_20200304T160803_T18UVD,L2A_T18UVD_A024547_20200304T160803
6,2020-04-26 22:54:30,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20200426T225430_20200426T225455_032305_03BCF6_27B9,2020-04-26 16:18:38,COPERNICUS/S2_SR_HARMONIZED/20200426T160901_20200426T161045_T18UVD,L2A_T18UVD_A025305_20200426T161045
7,2020-05-08 22:54:31,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20200508T225431_20200508T225456_032480_03C2E9_F422,2020-05-08 16:08:38,COPERNICUS/S2_SR_HARMONIZED/20200508T155819_20200508T155955_T18UVD,L2A_T18UVD_A016568_20200508T155955
8,2020-11-04 22:54:39,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20201104T225439_20201104T225504_035105_0418C8_5E27,2020-11-04 16:08:42,COPERNICUS/S2_SR_HARMONIZED/20201104T160439_20201104T160438_T18UVD,L2A_T18UVD_A019142_20201104T160438
9,2021-02-20 22:54:35,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20210220T225435_20210220T225500_036680_044F7A_0EFF,2021-02-20 16:18:37,COPERNICUS/S2_SR_HARMONIZED/20210220T161301_20210220T161406_T18UVD,L2A_T18UVD_A029595_20210220T161406
