,s1_dates,s1_system_ids,s2_dates,s2_system_ids,s2_granule_ids
0,2019-04-05 03:52:04,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190405T035204_20190405T035229_015666_01D627_D650,2019-04-05 08:53:38,COPERNICUS/S2_SR_HARMONIZED/20190405T084559_20190405T084656_T37VCG,L2A_T37VCG_A010858_20190405T084656
1,2019-06-04 03:52:07,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190604T035207_20190604T035232_016541_01F236_090F,2019-06-04 08:53:43,COPERNICUS/S2_SR_HARMONIZED/20190604T084609_20190604T085141_T37VCG,L2A_T37VCG_A011716_20190604T085141
2,2019-07-22 03:52:10,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190722T035210_20190722T035235_017241_0206D6_CC30,2019-07-22 09:03:38,COPERNICUS/S2_SR_HARMONIZED/20190722T085601_20190722T085828_T37VCG,L2A_T37VCG_A021311_20190722T085828
3,2019-12-01 03:52:13,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20191201T035213_20191201T035238_019166_0242DC_EABB,2019-12-01 08:53:30,COPERNICUS/S2_SR_HARMONIZED/20191201T085229_20191201T085225_T37VCG,L2A_T37VCG_A014290_20191201T085225
4,2020-03-30 03:52:13,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20200330T035213_20200330T035238_020916_027AAF_B783,2020-03-30 08:53:32,COPERNICUS/S2_SR_HARMONIZED/20200330T084559_20200330T085251_T37VCG,L2A_T37VCG_A016006_20200330T085251
5,2020-09-14 03:52:19,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20200914T035219_20200914T035244_023366_02C615_A926,2020-09-14 09:03:41,COPERNICUS/S2_SR_HARMONIZED/20200914T085601_20200914T090333_T37VCG,L2A_T37VCG_A027317_20200914T090333
6,2020-09-26 03:52:19,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20200926T035219_20200926T035244_023541_02CB91_6B0C,2020-09-26 08:53:38,COPERNICUS/S2_SR_HARMONIZED/20200926T084719_20200926T085042_T37VCG,L2A_T37VCG_A018580_20200926T085042
7,2021-01-12 03:52:17,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20210112T035217_20210112T035242_025116_02FD72_55AC,2021-01-12 09:03:40,COPERNICUS/S2_SR_HARMONIZED/20210112T090331_20210112T090333_T37VCG,L2A_T37VCG_A029033_20210112T090333
8,2021-09-09 03:52:25,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20210909T035225_20210909T035250_028616_036A3D_1601,2021-09-09 09:03:37,COPERNICUS/S2_SR_HARMONIZED/20210909T085601_20210909T090330_T37VCG,L2A_T37VCG_A032465_20210909T090330
