,s1_dates,s1_system_ids,s2_dates,s2_system_ids,s2_granule_ids
0,2019-01-10 00:52:53,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190110T005253_20190110T005318_025408_02D075_C859,2019-01-10 05:41:48,COPERNICUS/S2_SR_HARMONIZED/20190110T053211_20190110T053252_T43REJ,L2A_T43REJ_A018549_20190110T053252
1,2019-03-11 00:52:52,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190311T005252_20190311T005317_026283_02EFF9_67AC,2019-03-11 05:41:48,COPERNICUS/S2_SR_HARMONIZED/20190311T052641_20190311T053430_T43REJ,L2A_T43REJ_A019407_20190311T053430
2,2020-03-05 00:52:58,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20200305T005258_20200305T005323_031533_03A1F5_F946,2020-03-05 05:41:49,COPERNICUS/S2_SR_HARMONIZED/20200305T052711_20200305T053544_T43REJ,L2A_T43REJ_A024555_20200305T053544
3,2020-05-04 00:53:18,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20200504T005318_20200504T005343_032408_03C0A7_A065,2020-05-04 05:41:56,COPERNICUS/S2_SR_HARMONIZED/20200504T052651_20200504T053442_T43REJ,L2A_T43REJ_A025413_20200504T053442
4,2020-10-31 00:53:06,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20201031T005306_20201031T005331_035033_041642_4C5C,2020-10-31 05:41:58,COPERNICUS/S2_SR_HARMONIZED/20201031T052951_20201031T053450_T43REJ,L2A_T43REJ_A027987_20201031T053450
5,2020-12-30 00:53:04,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20201230T005304_20201230T005329_035908_04349E_3AD8,2020-12-30 05:41:53,COPERNICUS/S2_SR_HARMONIZED/20201230T053231_20201230T053231_T43REJ,L2A_T43REJ_A028845_20201230T053231
6,2021-02-28 00:53:02,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20210228T005302_20210228T005327_036783_04530C_7962,2021-02-28 05:41:54,COPERNICUS/S2_SR_HARMONIZED/20210228T052751_20210228T054143_T43REJ,L2A_T43REJ_A029703_20210228T054143
7,2021-04-29 00:53:04,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20210429T005304_20210429T005329_037658_047168_97F2,2021-04-29 05:41:50,COPERNICUS/S2_SR_HARMONIZED/20210429T052641_20210429T053913_T43REJ,L2A_T43REJ_A030561_20210429T053913
8,2021-06-28 00:53:07,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20210628T005307_20210628T005332_038533_048C16_A229,2021-06-28 05:41:55,COPERNICUS/S2_SR_HARMONIZED/20210628T052651_20210628T053914_T43REJ,L2A_T43REJ_A031419_20210628T053914
9,2021-10-11 13:02:38,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20211011T130238_20211011T130307_040072_04BE91_92E3,2021-10-11 05:41:54,COPERNICUS/S2_SR_HARMONIZED/20211011T052739_20211011T052952_T43REJ,L2A_T43REJ_A024012_20211011T052952
10,2021-10-26 00:53:12,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20211026T005312_20211026T005337_040283_04C5EA_3791,2021-10-26 05:41:58,COPERNICUS/S2_SR_HARMONIZED/20211026T052921_20211026T053326_T43REJ,L2A_T43REJ_A033135_20211026T053326
11,2021-12-10 13:02:36,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20211210T130236_20211210T130306_040947_04DCF2_F69B,2021-12-10 05:41:48,COPERNICUS/S2_SR_HARMONIZED/20211210T053219_20211210T053218_T43REJ,L2A_T43REJ_A024870_20211210T053218
12,2022-02-08 13:02:34,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20220208T130234_20220208T130303_041822_04FA72_2B4E,2022-02-08 05:41:47,COPERNICUS/S2_SR_HARMONIZED/20220208T052959_20220208T054123_T43REJ,L2A_T43REJ_A025728_20220208T054123
13,2022-02-23 00:53:08,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20220223T005308_20220223T005333_042033_0501C5_148E,2022-02-23 05:41:55,COPERNICUS/S2_SR_HARMONIZED/20220223T052831_20220223T054048_T43REJ,L2A_T43REJ_A034851_20220223T054048
14,2022-04-09 13:02:34,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20220409T130234_20220409T130303_042697_05184B_AA69,2022-04-09 05:41:50,COPERNICUS/S2_SR_HARMONIZED/20220409T052639_20220409T054032_T43REJ,L2A_T43REJ_A026586_20220409T054032
15,2022-06-08 13:02:38,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20220608T130238_20220608T130307_043572_0533E4_2545,2022-06-08 05:41:54,COPERNICUS/S2_SR_HARMONIZED/20220608T052649_20220608T053128_T43REJ,L2A_T43REJ_A027444_20220608T053128
16,2022-06-23 00:53:13,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20220623T005313_20220623T005338_043783_053A23_9593,2022-06-23 05:42:09,COPERNICUS/S2_SR_HARMONIZED/20220623T052701_20220623T054200_T43REJ,L2A_T43REJ_A036567_20220623T054200
17,2022-10-06 13:02:44,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20221006T130244_20221006T130313_045322_056B27_0B5D,2022-10-06 05:41:50,COPERNICUS/S2_SR_HARMONIZED/20221006T052659_20221006T053723_T43REJ,L2A_T43REJ_A029160_20221006T053723
18,2022-12-05 13:02:43,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20221205T130243_20221205T130312_046197_058809_6C9E,2022-12-05 05:41:50,COPERNICUS/S2_SR_HARMONIZED/20221205T053209_20221205T053210_T43REJ,L2A_T43REJ_A030018_20221205T053210
19,2022-12-20 00:53:20,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20221220T005320_20221220T005345_046408_058F3B_4BE9,2022-12-20 05:41:51,COPERNICUS/S2_SR_HARMONIZED/20221220T053231_20221220T053233_T43REJ,L2A_T43REJ_A039141_20221220T053233
20,2023-02-03 13:02:40,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20230203T130240_20230203T130309_047072_05A593_C455,2023-02-03 05:41:50,COPERNICUS/S2_SR_HARMONIZED/20230203T053029_20230203T053321_T43REJ,L2A_T43REJ_A030876_20230203T053321
21,2023-02-18 00:53:17,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20230218T005317_20230218T005342_047283_05ACB0_23A9,2023-02-18 05:41:50,COPERNICUS/S2_SR_HARMONIZED/20230218T052901_20230218T053651_T43REJ,L2A_T43REJ_A039999_20230218T053651
22,2023-04-04 13:02:40,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20230404T130240_20230404T130309_047947_05C323_2F77,2023-04-04 05:42:00,COPERNICUS/S2_SR_HARMONIZED/20230404T052649_20230404T054151_T43REJ,L2A_T43REJ_A031734_20230404T054151
23,2023-06-03 13:02:43,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20230603T130243_20230603T130312_048822_05DF12_5EE8,2023-06-03 05:41:57,COPERNICUS/S2_SR_HARMONIZED/20230603T052649_20230603T054136_T43REJ,L2A_T43REJ_A032592_20230603T054136
24,2023-08-17 00:53:25,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20230817T005325_20230817T005350_049908_0600D4_4C3B,2023-08-17 05:41:59,COPERNICUS/S2_SR_HARMONIZED/20230817T052651_20230817T053348_T43REJ,L2A_T43REJ_A042573_20230817T053348
25,2023-10-01 13:02:49,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20231001T130249_20231001T130318_050572_061782_3B88,2023-10-01 05:41:58,COPERNICUS/S2_SR_HARMONIZED/20231001T052649_20231001T054149_T43REJ,L2A_T43REJ_A034308_20231001T054149
26,2023-11-30 13:02:47,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20231130T130247_20231130T130316_051447_063582_94BF,2023-11-30 05:41:50,COPERNICUS/S2_SR_HARMONIZED/20231130T053159_20231130T054121_T43REJ,L2A_T43REJ_A035166_20231130T054121
27,2024-01-29 13:02:45,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20240129T130245_20240129T130314_052322_06538D_BB33,2024-01-29 05:41:54,COPERNICUS/S2_SR_HARMONIZED/20240129T053059_20240129T054145_T43REJ,L2A_T43REJ_A036024_20240129T054145
28,2024-05-28 13:02:46,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20240528T130246_20240528T130315_054072_06931D_468E,2024-05-28 05:41:53,COPERNICUS/S2_SR_HARMONIZED/20240528T052649_20240528T054136_T43REJ,L2A_T43REJ_A037740_20240528T054136
29,2019-10-07 00:52:20,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20191007T005220_20191007T005245_018362_02297B_B962,2019-10-07 05:41:55,COPERNICUS/S2_SR_HARMONIZED/20191007T052711_20191007T053002_T43REJ,L2A_T43REJ_A022410_20191007T053002
