,s1_dates,s1_system_ids,s2_dates,s2_system_ids,s2_granule_ids
0,2019-01-18 00:09:42,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190118T000942_20190118T001007_014541_01B15D_95D9,2019-01-17 17:57:04,COPERNICUS/S2_SR_HARMONIZED/20190117T175659_20190117T175657_T14VPN,L2A_T14VPN_A009748_20190117T175657
1,2019-01-18 00:09:42,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190118T000942_20190118T001007_014541_01B15D_95D9,2019-01-17 17:57:03,COPERNICUS/S2_SR_HARMONIZED/20190117T175659_20190117T175657_T15VUH,L2A_T15VUH_A009748_20190117T175657
2,2019-01-30 00:09:42,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190130T000942_20190130T001007_014716_01B6FD_597F,2019-01-29 17:46:58,COPERNICUS/S2_SR_HARMONIZED/20190129T174601_20190129T174558_T14VPN,L2A_T14VPN_A018828_20190129T174558
3,2019-01-30 00:09:42,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190130T000942_20190130T001007_014716_01B6FD_597F,2019-01-29 17:46:57,COPERNICUS/S2_SR_HARMONIZED/20190129T174601_20190129T174558_T15VUH,L2A_T15VUH_A018828_20190129T174558
4,2019-03-07 00:09:41,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190307T000941_20190307T001006_015241_01C840_4CCB,2019-03-06 18:06:50,COPERNICUS/S2_SR_HARMONIZED/20190306T180211_20190306T180212_T14VPN,L2A_T14VPN_A019343_20190306T180212
5,2019-03-07 00:09:41,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190307T000941_20190307T001006_015241_01C840_4CCB,2019-03-06 18:06:49,COPERNICUS/S2_SR_HARMONIZED/20190306T180211_20190306T180212_T15VUH,L2A_T15VUH_A019343_20190306T180212
6,2019-03-31 00:09:42,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190331T000942_20190331T001007_015591_01D3A2_88BF,2019-03-30 17:47:01,COPERNICUS/S2_SR_HARMONIZED/20190330T173921_20190330T174646_T14VPN,L2A_T14VPN_A019686_20190330T174646
7,2019-03-31 00:09:42,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190331T000942_20190331T001007_015591_01D3A2_88BF,2019-03-30 17:47:00,COPERNICUS/S2_SR_HARMONIZED/20190330T173921_20190330T174646_T15VUH,L2A_T15VUH_A019686_20190330T174646
8,2019-05-06 00:09:43,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190506T000943_20190506T001008_016116_01E51F_3DA8,2019-05-05 18:07:00,COPERNICUS/S2_SR_HARMONIZED/20190505T175921_20190505T180014_T14VPN,L2A_T14VPN_A020201_20190505T180014
9,2019-05-06 00:09:43,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190506T000943_20190506T001008_016116_01E51F_3DA8,2019-05-05 18:06:58,COPERNICUS/S2_SR_HARMONIZED/20190505T175921_20190505T180014_T15VUH,L2A_T15VUH_A020201_20190505T180014
10,2019-07-17 00:09:47,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190717T000947_20190717T001012_017166_0204A9_33B8,2019-07-16 17:57:08,COPERNICUS/S2_SR_HARMONIZED/20190716T174919_20190716T174916_T14VPN,L2A_T14VPN_A012322_20190716T174916
11,2019-07-17 00:09:47,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190717T000947_20190717T001012_017166_0204A9_33B8,2019-07-16 17:57:07,COPERNICUS/S2_SR_HARMONIZED/20190716T174919_20190716T174916_T15VUH,L2A_T15VUH_A012322_20190716T174916
12,2019-09-03 00:09:50,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190903T000950_20190903T001015_017866_0219F5_3A7D,2019-09-02 18:06:56,COPERNICUS/S2_SR_HARMONIZED/20190902T175911_20190902T175941_T14VPN,L2A_T14VPN_A021917_20190902T175941
13,2019-09-03 00:09:50,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190903T000950_20190903T001015_017866_0219F5_3A7D,2019-09-02 18:06:55,COPERNICUS/S2_SR_HARMONIZED/20190902T175911_20190902T175941_T15VUH,L2A_T15VUH_A021917_20190902T175941
