,s1_dates,s1_system_ids,s2_dates,s2_system_ids,s2_granule_ids
0,2019-02-22 16:59:34,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190222T165934_20190222T170003_026045_02E75D_5CA1,2019-02-22 22:25:56,COPERNICUS/S2_SR_HARMONIZED/20190222T222531_20190222T222529_T05WNT,L2A_T05WNT_A019174_20190222T222529
1,2019-03-18 16:59:34,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190318T165934_20190318T170003_026395_02F418_F26A,2019-03-18 22:06:03,COPERNICUS/S2_SR_HARMONIZED/20190318T220531_20190318T220527_T05WNT,L2A_T05WNT_A019517_20190318T220527
2,2019-04-13 16:43:07,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190413T164307_20190413T164336_026774_0301FF_EB5E,2019-04-13 22:26:03,COPERNICUS/S2_SR_HARMONIZED/20190413T222541_20190413T222535_T05WNT,L2A_T05WNT_A019889_20190413T222535
3,2019-04-23 16:59:35,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190423T165935_20190423T170004_026920_030743_7674,2019-04-23 22:26:04,COPERNICUS/S2_SR_HARMONIZED/20190423T222541_20190423T222536_T05WNT,L2A_T05WNT_A020032_20190423T222536
4,2019-05-05 16:59:36,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190505T165936_20190505T170005_027095_030DA9_E224,2019-05-05 22:16:12,COPERNICUS/S2_SR_HARMONIZED/20190505T221539_20190505T221539_T05WNT,L2A_T05WNT_A011295_20190505T221539
5,2019-07-04 16:59:39,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190704T165939_20190704T170008_027970_032885_CB97,2019-07-04 22:16:12,COPERNICUS/S2_SR_HARMONIZED/20190704T221539_20190704T221540_T05WNT,L2A_T05WNT_A012153_20190704T221540
6,2019-07-06 16:43:12,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190706T164312_20190706T164341_027999_03296D_2EDB,2019-07-06 22:06:12,COPERNICUS/S2_SR_HARMONIZED/20190706T220541_20190706T220600_T05WNT,L2A_T05WNT_A021090_20190706T220600
7,2019-09-02 16:59:42,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190902T165942_20190902T170011_028845_0344C6_4188,2019-09-02 22:16:07,COPERNICUS/S2_SR_HARMONIZED/20190902T221539_20190902T221534_T05WNT,L2A_T05WNT_A013011_20190902T221534
8,2019-10-10 16:43:16,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20191010T164316_20191010T164345_029399_0357D4_E404,2019-10-10 22:26:03,COPERNICUS/S2_SR_HARMONIZED/20191010T222541_20191010T222535_T05WNT,L2A_T05WNT_A022463_20191010T222535
9,2019-10-22 16:43:16,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20191022T164316_20191022T164345_029574_035DDF_DF7A,2019-10-22 22:16:05,COPERNICUS/S2_SR_HARMONIZED/20191022T221549_20191022T221550_T05WNT,L2A_T05WNT_A013726_20191022T221550
