,s1_dates,s1_system_ids,s2_dates,s2_system_ids,s2_granule_ids
0,2023-06-23 02:11:10,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20230623T021110_20230623T021135_049107_05E7AF_5F4A,2023-06-22 19:30:51,COPERNICUS/S2_SR_HARMONIZED/20230622T191909_20230622T192404_T09UYR,L2A_T09UYR_A032872_20230622T192404
1,2023-06-23 02:11:10,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20230623T021110_20230623T021135_049107_05E7AF_5F4A,2023-06-22 19:30:49,COPERNICUS/S2_SR_HARMONIZED/20230622T191909_20230622T192404_T10UCA,L2A_T10UCA_A032872_20230622T192404
2,2023-08-22 02:11:14,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20230822T021114_20230822T021139_049982_06035D_4820,2023-08-21 19:30:52,COPERNICUS/S2_SR_HARMONIZED/20230821T191919_20230821T191913_T09UYR,L2A_T09UYR_A033730_20230821T191913
3,2023-08-22 02:11:14,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20230822T021114_20230822T021139_049982_06035D_4820,2023-08-21 19:30:50,COPERNICUS/S2_SR_HARMONIZED/20230821T191919_20230821T191913_T10UCA,L2A_T10UCA_A033730_20230821T191913
4,2024-04-18 02:11:13,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20240418T021113_20240418T021138_053482_067D56_F414,2024-04-17 19:30:48,COPERNICUS/S2_SR_HARMONIZED/20240417T191909_20240417T192137_T09UYR,L2A_T09UYR_A037162_20240417T192137
5,2024-04-18 02:11:13,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20240418T021113_20240418T021138_053482_067D56_F414,2024-04-17 19:30:46,COPERNICUS/S2_SR_HARMONIZED/20240417T191909_20240417T192137_T10UCA,L2A_T10UCA_A037162_20240417T192137
6,2019-01-29 14:36:31,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190129T143631_20190129T143656_014710_01B6CA_BD38,2019-01-29 19:30:44,COPERNICUS/S2_SR_HARMONIZED/20190129T192641_20190129T192722_T09UYR,L2A_T09UYR_A018829_20190129T192722
7,2019-01-29 14:36:31,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190129T143631_20190129T143656_014710_01B6CA_BD38,2019-01-29 19:30:42,COPERNICUS/S2_SR_HARMONIZED/20190129T192641_20190129T192722_T10UCA,L2A_T10UCA_A018829_20190129T192722
8,2019-02-14 02:10:04,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190214T021004_20190214T021029_014936_01BE32_698F,2019-02-13 19:30:47,COPERNICUS/S2_SR_HARMONIZED/20190213T192519_20190213T192516_T09UYR,L2A_T09UYR_A010135_20190213T192516
9,2019-02-14 02:10:04,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190214T021004_20190214T021029_014936_01BE32_698F,2019-02-13 19:30:45,COPERNICUS/S2_SR_HARMONIZED/20190213T192519_20190213T192516_T10UCA,L2A_T10UCA_A010135_20190213T192516
10,2019-03-30 14:36:31,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190330T143631_20190330T143656_015585_01D36E_EF77,2019-03-30 19:30:47,COPERNICUS/S2_SR_HARMONIZED/20190330T192001_20190330T192817_T09UYR,L2A_T09UYR_A019687_20190330T192817
11,2019-03-30 14:36:31,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190330T143631_20190330T143656_015585_01D36E_EF77,2019-03-30 19:30:45,COPERNICUS/S2_SR_HARMONIZED/20190330T192001_20190330T192817_T10UCA,L2A_T10UCA_A019687_20190330T192817
12,2019-05-24 14:28:38,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190524T142838_20190524T142903_016387_01ED98_DF68,2019-05-24 19:30:56,COPERNICUS/S2_SR_HARMONIZED/20190524T191919_20190524T192639_T09UYR,L2A_T09UYR_A011565_20190524T192639
13,2019-05-24 14:28:38,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190524T142838_20190524T142903_016387_01ED98_DF68,2019-05-24 19:30:54,COPERNICUS/S2_SR_HARMONIZED/20190524T191919_20190524T192639_T10UCA,L2A_T10UCA_A011565_20190524T192639
14,2019-05-29 14:36:33,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190529T143633_20190529T143658_016460_01EFBE_95B9,2019-05-29 19:30:50,COPERNICUS/S2_SR_HARMONIZED/20190529T191911_20190529T192221_T09UYR,L2A_T09UYR_A020545_20190529T192221
