,s1_dates,s1_system_ids,s2_dates,s2_system_ids,s2_granule_ids
0,2018-12-23 09:20:59,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20181223T092059_20181223T092124_014167_01A53A_2065,2018-12-23 14:10:27,COPERNICUS/S2_SR_HARMONIZED/20181223T140049_20181223T140048_T21JTJ,L2A_T21JTJ_A009388_20181223T140048
1,2019-02-21 09:20:57,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190221T092057_20190221T092122_015042_01C1B8_34C5,2019-02-21 14:10:30,COPERNICUS/S2_SR_HARMONIZED/20190221T140049_20190221T140920_T21JTJ,L2A_T21JTJ_A010246_20190221T140920
2,2019-06-21 09:21:01,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190621T092101_20190621T092126_016792_01F9A3_9EEB,2019-06-21 14:10:39,COPERNICUS/S2_SR_HARMONIZED/20190621T140059_20190621T140900_T21JTJ,L2A_T21JTJ_A011962_20190621T140900
3,2019-08-20 09:21:05,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190820T092105_20190820T092130_017667_0213CD_C37B,2019-08-20 14:10:37,COPERNICUS/S2_SR_HARMONIZED/20190820T140059_20190820T140333_T21JTJ,L2A_T21JTJ_A012820_20190820T140333
4,2019-12-18 09:21:05,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20191218T092105_20191218T092130_019417_024ADF_ECA8,2019-12-18 14:10:26,COPERNICUS/S2_SR_HARMONIZED/20191218T140049_20191218T140047_T21JTJ,L2A_T21JTJ_A014536_20191218T140047
5,2020-04-16 09:21:04,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20200416T092104_20200416T092129_021167_0282A9_A272,2020-04-16 14:10:27,COPERNICUS/S2_SR_HARMONIZED/20200416T140049_20200416T140047_T21JTJ,L2A_T21JTJ_A016252_20200416T140047
6,2020-10-13 09:21:13,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20201013T092113_20201013T092138_023792_02D363_B1E9,2020-10-13 14:10:35,COPERNICUS/S2_SR_HARMONIZED/20201013T140059_20201013T140056_T21JTJ,L2A_T21JTJ_A018826_20201013T140056
7,2020-12-12 09:21:12,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20201212T092112_20201212T092137_024667_02EEFA_CA14,2020-12-12 14:10:28,COPERNICUS/S2_SR_HARMONIZED/20201212T140049_20201212T140049_T21JTJ,L2A_T21JTJ_A019684_20201212T140049
8,2021-06-10 09:21:13,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20210610T092113_20210610T092138_027292_034284_2725,2021-06-10 14:10:32,COPERNICUS/S2_SR_HARMONIZED/20210610T140059_20210610T140614_T21JTJ,L2A_T21JTJ_A022258_20210610T140614
9,2021-12-07 09:21:17,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20211207T092117_20211207T092142_029917_039249_9664,2021-12-07 14:10:26,COPERNICUS/S2_SR_HARMONIZED/20211207T140049_20211207T140047_T21JTJ,L2A_T21JTJ_A024832_20211207T140047
