,s1_dates,s1_system_ids,s2_dates,s2_system_ids,s2_granule_ids
0,2019-04-02 02:20:58,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190402T022058_20190402T022123_026605_02FBD2_7EB2,2019-04-01 20:09:12,COPERNICUS/S2_SR_HARMONIZED/20190401T200001_20190401T200742_T09VUC,L2A_T09VUC_A019716_20190401T200742
1,2019-09-29 02:21:07,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190929T022107_20190929T022132_029230_035207_BEF4,2019-09-28 20:09:13,COPERNICUS/S2_SR_HARMONIZED/20190928T200211_20190928T200213_T09VUC,L2A_T09VUC_A022290_20190928T200213
2,2019-11-28 02:21:06,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20191128T022106_20191128T022131_030105_037062_9E09,2019-11-27 20:09:11,COPERNICUS/S2_SR_HARMONIZED/20191127T200801_20191127T200755_T09VUC,L2A_T09VUC_A023148_20191127T200755
3,2020-02-08 02:21:04,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20200208T022104_20200208T022129_031155_0394DD_190D,2020-02-07 19:59:08,COPERNICUS/S2_SR_HARMONIZED/20200207T195559_20200207T195602_T09VUC,L2A_T09VUC_A015269_20200207T195602
4,2021-01-21 02:21:10,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20210121T022110_20210121T022135_036230_043FD4_951C,2021-01-20 20:09:12,COPERNICUS/S2_SR_HARMONIZED/20210120T200741_20210120T200740_T09VUC,L2A_T09VUC_A029154_20210120T200740
5,2021-02-02 02:21:10,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20210202T022110_20210202T022135_036405_0445E3_2387,2021-02-01 19:59:13,COPERNICUS/S2_SR_HARMONIZED/20210201T195639_20210201T195858_T09VUC,L2A_T09VUC_A020417_20210201T195858
6,2021-05-21 02:21:12,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20210521T022112_20210521T022137_037980_047B8F_389B,2021-05-20 20:09:12,COPERNICUS/S2_SR_HARMONIZED/20210520T195901_20210520T200337_T09VUC,L2A_T09VUC_A030870_20210520T200337
7,2021-07-20 02:21:15,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20210720T022115_20210720T022140_038855_0495BF_140C,2021-07-19 20:09:15,COPERNICUS/S2_SR_HARMONIZED/20210719T195901_20210719T200402_T09VUC,L2A_T09VUC_A031728_20210719T200402
8,2021-08-01 02:21:16,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20210801T022116_20210801T022141_039030_049AF2_007F,2021-07-31 19:59:15,COPERNICUS/S2_SR_HARMONIZED/20210731T194859_20210731T195256_T09VUC,L2A_T09VUC_A022991_20210731T195256
9,2021-11-29 02:21:18,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20211129T022118_20211129T022143_040780_04D728_D4A4,2021-11-28 19:59:09,COPERNICUS/S2_SR_HARMONIZED/20211128T195749_20211128T195752_T09VUC,L2A_T09VUC_A024707_20211128T195752
