,s1_dates,s1_system_ids,s2_dates,s2_system_ids,s2_granule_ids
0,2018-12-17 23:51:30,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20181217T235130_20181217T235155_025072_02C446_C6C1,2018-12-18 04:37:35,COPERNICUS/S2_SR_HARMONIZED/20181218T043159_20181218T043722_T46SEJ,L2A_T46SEJ_A009311_20181218T043722
1,2019-01-05 11:43:49,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190105T114349_20190105T114414_025342_02CE0B_D21A,2019-01-05 04:47:31,COPERNICUS/S2_SR_HARMONIZED/20190105T044201_20190105T044654_T46SEJ,L2A_T46SEJ_A018477_20190105T044654
2,2019-03-18 11:43:48,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190318T114348_20190318T114413_026392_02F3FC_65EE,2019-03-18 04:37:39,COPERNICUS/S2_SR_HARMONIZED/20190318T042659_20190318T043234_T46SEJ,L2A_T46SEJ_A010598_20190318T043234
3,2019-04-04 23:51:28,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190404T235128_20190404T235153_026647_02FD61_6ADE,2019-04-05 04:47:38,COPERNICUS/S2_SR_HARMONIZED/20190405T043701_20190405T043925_T46SEJ,L2A_T46SEJ_A019764_20190405T043925
4,2019-04-16 23:51:28,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190416T235128_20190416T235153_026822_0303BE_4AD2,2019-04-17 04:37:46,COPERNICUS/S2_SR_HARMONIZED/20190417T042709_20190417T043607_T46SEJ,L2A_T46SEJ_A011027_20190417T043607
5,2019-06-03 23:51:31,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190603T235131_20190603T235156_027522_031B0C_BA64,2019-06-04 04:47:39,COPERNICUS/S2_SR_HARMONIZED/20190604T043701_20190604T043703_T46SEJ,L2A_T46SEJ_A020622_20190604T043703
6,2019-06-15 23:51:31,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190615T235131_20190615T235156_027697_032055_18C6,2019-06-16 04:37:48,COPERNICUS/S2_SR_HARMONIZED/20190616T042709_20190616T043609_T46SEJ,L2A_T46SEJ_A011885_20190616T043609
7,2019-08-02 23:51:34,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190802T235134_20190802T235159_028397_03357D_9027,2019-08-03 04:47:41,COPERNICUS/S2_SR_HARMONIZED/20190803T043711_20190803T043705_T46SEJ,L2A_T46SEJ_A021480_20190803T043705
8,2019-09-02 11:43:57,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190902T114357_20190902T114422_028842_0344AC_3A39,2019-09-02 04:47:37,COPERNICUS/S2_SR_HARMONIZED/20190902T043701_20190902T043701_T46SEJ,L2A_T46SEJ_A021909_20190902T043701
9,2019-09-14 11:43:57,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190914T114357_20190914T114422_029017_034AC0_6818,2019-09-14 04:37:41,COPERNICUS/S2_SR_HARMONIZED/20190914T042709_20190914T043242_T46SEJ,L2A_T46SEJ_A013172_20190914T043242
10,2019-11-01 11:43:58,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20191101T114358_20191101T114423_029717_0362E0_814F,2019-11-01 04:47:40,COPERNICUS/S2_SR_HARMONIZED/20191101T043931_20191101T044132_T46SEJ,L2A_T46SEJ_A022767_20191101T044132
11,2019-11-30 23:51:37,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20191130T235137_20191130T235202_030147_0371D0_9D32,2019-12-01 04:47:36,COPERNICUS/S2_SR_HARMONIZED/20191201T044141_20191201T044641_T46SEJ,L2A_T46SEJ_A023196_20191201T044641
12,2019-12-12 23:51:36,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20191212T235136_20191212T235201_030322_0377DC_738D,2019-12-13 04:37:35,COPERNICUS/S2_SR_HARMONIZED/20191213T043149_20191213T043430_T46SEJ,L2A_T46SEJ_A014459_20191213T043430
13,2020-01-12 11:43:55,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20200112T114355_20200112T114420_030767_038742_D18C,2020-01-12 04:37:35,COPERNICUS/S2_SR_HARMONIZED/20200112T043139_20200112T043718_T46SEJ,L2A_T46SEJ_A014888_20200112T043718
14,2020-01-29 23:51:34,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20200129T235134_20200129T235159_031022_039038_8393,2020-01-30 04:47:29,COPERNICUS/S2_SR_HARMONIZED/20200130T044031_20200130T044025_T46SEJ,L2A_T46SEJ_A024054_20200130T044025
15,2020-02-10 23:51:34,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20200210T235134_20200210T235159_031197_039651_B56D,2020-02-11 04:37:35,COPERNICUS/S2_SR_HARMONIZED/20200211T042919_20200211T043103_T46SEJ,L2A_T46SEJ_A015317_20200211T043103
16,2020-03-29 23:51:34,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20200329T235134_20200329T235159_031897_03AE9C_7244,2020-03-30 04:47:33,COPERNICUS/S2_SR_HARMONIZED/20200330T043701_20200330T043657_T46SEJ,L2A_T46SEJ_A024912_20200330T043657
17,2020-04-29 11:43:56,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20200429T114356_20200429T114421_032342_03BE4E_0089,2020-04-29 04:47:39,COPERNICUS/S2_SR_HARMONIZED/20200429T043701_20200429T043703_T46SEJ,L2A_T46SEJ_A025341_20200429T043703
18,2020-05-11 11:43:56,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20200511T114356_20200511T114421_032517_03C416_9AD7,2020-05-11 04:37:39,COPERNICUS/S2_SR_HARMONIZED/20200511T042659_20200511T042702_T46SEJ,L2A_T46SEJ_A016604_20200511T042702
19,2020-05-28 23:51:37,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20200528T235137_20200528T235202_032772_03CBCF_B712,2020-05-29 04:47:43,COPERNICUS/S2_SR_HARMONIZED/20200529T043711_20200529T043707_T46SEJ,L2A_T46SEJ_A025770_20200529T043707
20,2020-06-28 11:43:59,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20200628T114359_20200628T114424_033217_03D925_536A,2020-06-28 04:47:42,COPERNICUS/S2_SR_HARMONIZED/20200628T043711_20200628T043706_T46SEJ,L2A_T46SEJ_A026199_20200628T043706
21,2020-08-08 23:51:41,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20200808T235141_20200808T235206_033822_03EBE2_A87B,2020-08-09 04:37:44,COPERNICUS/S2_SR_HARMONIZED/20200809T042709_20200809T042721_T46SEJ,L2A_T46SEJ_A017891_20200809T042721
22,2020-08-27 11:44:03,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20200827T114403_20200827T114428_034092_03F55D_0A14,2020-08-27 04:47:42,COPERNICUS/S2_SR_HARMONIZED/20200827T043711_20200827T044502_T46SEJ,L2A_T46SEJ_A027057_20200827T044502
23,2020-09-25 23:51:44,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20200925T235144_20200925T235209_034522_04047C_42A8,2020-09-26 04:47:42,COPERNICUS/S2_SR_HARMONIZED/20200926T043711_20200926T043840_T46SEJ,L2A_T46SEJ_A027486_20200926T043840
24,2020-10-07 23:51:44,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20201007T235144_20201007T235209_034697_040A9F_5466,2020-10-08 04:37:44,COPERNICUS/S2_SR_HARMONIZED/20201008T042709_20201008T042812_T46SEJ,L2A_T46SEJ_A018749_20201008T042812
25,2020-11-07 11:44:04,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20201107T114404_20201107T114429_035142_041A0D_1E1C,2020-11-07 04:37:42,COPERNICUS/S2_SR_HARMONIZED/20201107T042959_20201107T043329_T46SEJ,L2A_T46SEJ_A019178_20201107T043329
