,s1_dates,s1_system_ids,s2_dates,s2_system_ids,s2_granule_ids
0,2019-03-21 02:24:42,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190321T022442_20190321T022509_026430_02F55D_FEA8,2019-03-20 21:05:31,COPERNICUS/S2_SR_HARMONIZED/20190320T210151_20190320T210150_T08WNC,L2A_T08WNC_A019545_20190320T210150
1,2019-03-21 02:24:42,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190321T022442_20190321T022509_026430_02F55D_FEA8,2019-03-20 21:05:24,COPERNICUS/S2_SR_HARMONIZED/20190320T210151_20190320T210150_T08WPC,L2A_T08WPC_A019545_20190320T210150
2,2019-03-23 02:08:21,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190323T020821_20190323T020847_026459_02F670_A93F,2019-03-22 20:55:36,COPERNICUS/S2_SR_HARMONIZED/20190322T205139_20190322T205133_T08WNC,L2A_T08WNC_A010665_20190322T205133
3,2019-03-23 02:08:21,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190323T020821_20190323T020847_026459_02F670_A93F,2019-03-22 20:55:30,COPERNICUS/S2_SR_HARMONIZED/20190322T205139_20190322T205133_T08WPC,L2A_T08WPC_A010665_20190322T205133
4,2019-04-02 02:24:43,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190402T022443_20190402T022509_026605_02FBD2_7930,2019-04-01 20:55:38,COPERNICUS/S2_SR_HARMONIZED/20190401T205029_20190401T205024_T08WNC,L2A_T08WNC_A010808_20190401T205024
5,2019-04-02 02:24:43,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190402T022443_20190402T022509_026605_02FBD2_7930,2019-04-01 20:55:32,COPERNICUS/S2_SR_HARMONIZED/20190401T205029_20190401T205024_T08WPC,L2A_T08WPC_A010808_20190401T205024
6,2019-04-04 02:08:21,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190404T020821_20190404T020848_026634_02FCED_7AFC,2019-04-03 20:45:38,COPERNICUS/S2_SR_HARMONIZED/20190403T204141_20190403T204137_T08WNC,L2A_T08WNC_A019745_20190403T204137
7,2019-04-04 02:08:21,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190404T020821_20190404T020848_026634_02FCED_7AFC,2019-04-03 20:45:33,COPERNICUS/S2_SR_HARMONIZED/20190403T204141_20190403T204137_T08WPC,L2A_T08WPC_A019745_20190403T204137
8,2019-04-14 02:24:43,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190414T022443_20190414T022509_026780_030239_1615,2019-04-13 20:45:39,COPERNICUS/S2_SR_HARMONIZED/20190413T204021_20190413T204020_T08WNC,L2A_T08WNC_A019888_20190413T204020
9,2019-04-14 02:24:43,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190414T022443_20190414T022509_026780_030239_1615,2019-04-13 20:45:34,COPERNICUS/S2_SR_HARMONIZED/20190413T204021_20190413T204020_T08WPC,L2A_T08WPC_A019888_20190413T204020
10,2019-05-10 02:08:22,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190510T020822_20190510T020849_027159_030FBC_9128,2019-05-09 21:05:30,COPERNICUS/S2_SR_HARMONIZED/20190509T210031_20190509T210025_T08WPC,L2A_T08WPC_A020260_20190509T210025
