,s1_dates,s1_system_ids,s2_dates,s2_system_ids,s2_granule_ids
0,2019-08-04 23:06:22,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190804T230622_20190804T230647_028426_033652_556A,2019-08-04 16:03:11,COPERNICUS/S2_SR_HARMONIZED/20190804T154911_20190804T160118_T18SUF,L2A_T18SUF_A021501_20190804T160118
1,2019-10-03 23:06:24,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20191003T230624_20191003T230649_029301_035465_C69F,2019-10-03 16:03:09,COPERNICUS/S2_SR_HARMONIZED/20191003T155101_20191003T155823_T18SUF,L2A_T18SUF_A022359_20191003T155823
2,2019-12-02 23:06:24,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20191202T230624_20191202T230649_030176_0372C4_F494,2019-12-02 16:03:04,COPERNICUS/S2_SR_HARMONIZED/20191202T155621_20191202T155801_T18SUF,L2A_T18SUF_A023217_20191202T155801
3,2021-11-21 23:06:36,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20211121T230636_20211121T230701_040676_04D389_0354,2021-11-21 16:03:07,COPERNICUS/S2_SR_HARMONIZED/20211121T155551_20211121T160205_T18SUF,L2A_T18SUF_A033513_20211121T160205
4,2022-03-21 23:06:33,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20220321T230633_20220321T230658_042426_050F1B_3044,2022-03-21 16:03:10,COPERNICUS/S2_SR_HARMONIZED/20220321T154941_20220321T155739_T18SUF,L2A_T18SUF_A035229_20220321T155739
5,2022-07-19 23:06:39,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20220719T230639_20220719T230704_044176_0545DC_EB52,2022-07-19 16:03:16,COPERNICUS/S2_SR_HARMONIZED/20220719T154951_20220719T155204_T18SUF,L2A_T18SUF_A036945_20220719T155204
6,2022-09-17 23:06:42,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20220917T230642_20220917T230707_045051_056208_04C0,2022-09-17 16:03:15,COPERNICUS/S2_SR_HARMONIZED/20220917T154921_20220917T155824_T18SUF,L2A_T18SUF_A037803_20220917T155824
7,2023-01-15 23:06:39,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20230115T230639_20230115T230704_046801_059C7B_A7BC,2023-01-15 16:03:03,COPERNICUS/S2_SR_HARMONIZED/20230115T155611_20230115T155611_T18SUF,L2A_T18SUF_A039519_20230115T155611
8,2023-03-16 23:06:38,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20230316T230638_20230316T230703_047676_05B9FE_3424,2023-03-16 16:03:04,COPERNICUS/S2_SR_HARMONIZED/20230316T155001_20230316T160104_T18SUF,L2A_T18SUF_A040377_20230316T160104
9,2023-09-12 23:06:47,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20230912T230647_20230912T230712_050301_060E49_57BC,2023-09-12 16:03:11,COPERNICUS/S2_SR_HARMONIZED/20230912T154841_20230912T155652_T18SUF,L2A_T18SUF_A042951_20230912T155652
10,2024-01-10 23:06:44,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20240110T230644_20240110T230709_052051_064A6A_F079,2024-01-10 16:03:01,COPERNICUS/S2_SR_HARMONIZED/20240110T155631_20240110T155802_T18SUF,L2A_T18SUF_A044667_20240110T155802
11,2024-03-10 23:06:43,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20240310T230643_20240310T230708_052926_066807_5BC1,2024-03-10 16:03:07,COPERNICUS/S2_SR_HARMONIZED/20240310T155051_20240310T155745_T18SUF,L2A_T18SUF_A045525_20240310T155745
12,2019-09-03 23:05:44,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190903T230544_20190903T230609_017880_021A62_E30D,2019-09-03 16:03:07,COPERNICUS/S2_SR_HARMONIZED/20190903T154911_20190903T160016_T18SUF,L2A_T18SUF_A021930_20190903T160016
