,s1_dates,s1_system_ids,s2_dates,s2_system_ids,s2_granule_ids
0,2019-04-05 03:51:14,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190405T035114_20190405T035139_015666_01D627_B12B,2019-04-05 08:52:47,COPERNICUS/S2_SR_HARMONIZED/20190405T084559_20190405T084656_T37VEK,L2A_T37VEK_A010858_20190405T084656
1,2019-04-07 03:34:53,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190407T033453_20190407T033518_015695_01D727_1E89,2019-04-07 08:42:47,COPERNICUS/S2_SR_HARMONIZED/20190407T083601_20190407T083648_T37VEK,L2A_T37VEK_A019795_20190407T083648
2,2019-06-06 03:34:55,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190606T033455_20190606T033520_016570_01F314_1523,2019-06-06 08:42:48,COPERNICUS/S2_SR_HARMONIZED/20190606T083601_20190606T083602_T37VEK,L2A_T37VEK_A020653_20190606T083602
3,2019-06-16 03:51:18,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190616T035118_20190616T035143_016716_01F765_02E0,2019-06-16 08:42:49,COPERNICUS/S2_SR_HARMONIZED/20190616T083601_20190616T084207_T37VEK,L2A_T37VEK_A020796_20190616T084207
4,2019-07-24 03:34:58,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190724T033458_20190724T033523_017270_0207B1_8731,2019-07-24 08:52:52,COPERNICUS/S2_SR_HARMONIZED/20190724T084609_20190724T085208_T37VEK,L2A_T37VEK_A012431_20190724T085208
5,2019-09-10 03:35:01,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190910T033501_20190910T033526_017970_021D4E_AEF4,2019-09-10 09:02:39,COPERNICUS/S2_SR_HARMONIZED/20190910T085551_20190910T085851_T37VEK,L2A_T37VEK_A022026_20190910T085851
6,2019-09-20 03:51:23,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190920T035123_20190920T035148_018116_0221C9_F948,2019-09-20 09:02:41,COPERNICUS/S2_SR_HARMONIZED/20190920T085631_20190920T085857_T37VEK,L2A_T37VEK_A022169_20190920T085857
7,2019-09-22 03:35:01,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190922T033501_20190922T033526_018145_0222B2_3F46,2019-09-22 08:52:43,COPERNICUS/S2_SR_HARMONIZED/20190922T084639_20190922T085152_T37VEK,L2A_T37VEK_A013289_20190922T085152
8,2020-03-08 03:35:01,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20200308T033501_20200308T033526_020595_027096_930A,2020-03-08 09:02:37,COPERNICUS/S2_SR_HARMONIZED/20200308T085811_20200308T090002_T37VEK,L2A_T37VEK_A024600_20200308T090002
9,2020-03-30 03:51:23,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20200330T035123_20200330T035148_020916_027AAF_5867,2020-03-30 08:52:41,COPERNICUS/S2_SR_HARMONIZED/20200330T084559_20200330T084556_T37VEK,L2A_T37VEK_A016006_20200330T084556
10,2020-09-04 03:35:07,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20200904T033507_20200904T033532_023220_02C185_39EF,2020-09-04 09:02:45,COPERNICUS/S2_SR_HARMONIZED/20200904T085601_20200904T085600_T37VEK,L2A_T37VEK_A027174_20200904T085600
11,2020-09-26 03:51:29,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20200926T035129_20200926T035154_023541_02CB91_5DD2,2020-09-26 08:52:46,COPERNICUS/S2_SR_HARMONIZED/20200926T084719_20200926T085042_T37VEK,L2A_T37VEK_A018580_20200926T085042
12,2020-09-28 03:35:08,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20200928T033508_20200928T033533_023570_02CC81_59A8,2020-09-28 08:42:51,COPERNICUS/S2_SR_HARMONIZED/20200928T083741_20200928T083735_T37VEK,L2A_T37VEK_A027517_20200928T083735
13,2021-01-14 03:35:05,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20210114T033505_20210114T033530_025145_02FE63_DBC9,2021-01-14 08:52:43,COPERNICUS/S2_SR_HARMONIZED/20210114T085229_20210114T085225_T37VEK,L2A_T37VEK_A020153_20210114T085225
14,2021-02-05 03:51:26,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20210205T035126_20210205T035151_025466_0308AA_971D,2021-02-05 08:42:45,COPERNICUS/S2_SR_HARMONIZED/20210205T084141_20210205T084135_T37VEK,L2A_T37VEK_A029376_20210205T084135
15,2021-03-25 03:51:26,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20210325T035126_20210325T035151_026166_031F53_C045,2021-03-25 08:52:42,COPERNICUS/S2_SR_HARMONIZED/20210325T084609_20210325T084717_T37VEK,L2A_T37VEK_A021154_20210325T084717
16,2021-03-27 03:35:04,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20210327T033504_20210327T033529_026195_03204B_D5E9,2021-03-27 08:42:44,COPERNICUS/S2_SR_HARMONIZED/20210327T083601_20210327T084152_T37VEK,L2A_T37VEK_A030091_20210327T084152
17,2021-04-06 03:51:26,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20210406T035126_20210406T035151_026341_0324F1_2A85,2021-04-06 08:42:42,COPERNICUS/S2_SR_HARMONIZED/20210406T083601_20210406T083936_T37VEK,L2A_T37VEK_A030234_20210406T083936
18,2021-05-02 03:35:06,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20210502T033506_20210502T033531_026720_033110_6E68,2021-05-02 09:02:39,COPERNICUS/S2_SR_HARMONIZED/20210502T085551_20210502T085553_T37VEK,L2A_T37VEK_A030606_20210502T085553
19,2021-09-21 03:51:35,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20210921T035135_20210921T035200_028791_036F9A_98E5,2021-09-21 08:52:35,COPERNICUS/S2_SR_HARMONIZED/20210921T084629_20210921T084631_T37VEK,L2A_T37VEK_A023728_20210921T084631
20,2021-09-21 03:51:35,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20210921T035135_20210921T035200_028791_036F9A_98E5,2021-09-21 08:52:42,COPERNICUS/S2_SR_HARMONIZED/20210921T084629_20210921T085232_T37VEK,L2A_T37VEK_A023728_20210921T085232
